"FW_name","species","species_type","metabolic_type","functional_group","taxonomic_level","movement_type","bodymass","abundance","biomass","losses","efficiencies"
"IS3","Achnanthes","plant","plant","plant","genus","sessile",2.032e-09,20053517.1745667,0.0407487468987195,NA,0.564616138886632
"IS3","Amphora","plant","plant","plant","genus","sessile",1.8996e-09,1178036.809695,0.00223779872369662,NA,0.564616138886632
"IS3","Bacteria","detritus","heterotrophic bacteria","nonfeeding",NA,"sessile",NA,NA,NA,NA,0.169513094941641
"IS3","Caloneis","plant","plant","plant","genus","sessile",1.216e-09,2723982.904,0.003312363211264,NA,0.564616138886632
"IS3","Chaetocladius sp.","animal","ectotherm invertebrate","herbivore","genus","walking",6.695584e-05,104,0.00696340736,6.24741919724343e-06,0.912688943313394
"IS3","Cocconeis","plant","plant","plant","genus","sessile",9.66e-09,5564621.8445,0.05375424701787,NA,0.564616138886632
"IS3","CPOM","detritus","detritus","detritus",NA,"sessile",NA,NA,NA,NA,0.169513094941641
"IS3","Cymbella","plant","plant","plant","genus","sessile",2.82e-10,211183.0722,5.95536263604e-05,NA,0.564616138886632
"IS3","Diatoma","plant","plant","plant","genus","sessile",1.172e-08,1064476.525,0.012475664873,NA,0.564616138886632
"IS3","Epithemia","plant","plant","plant","genus","sessile",7.43e-09,845411.58575,0.0062814080821225,NA,0.564616138886632
"IS3","Eukiefferiella claripennis","animal","ectotherm invertebrate","herbivore","species","walking",0.000166993872,772,0.128919269184,8.87344332325437e-05,0.912688943313394
"IS3","Filamentous algae","plant","plant","plant",NA,"sessile",NA,NA,NA,NA,0.564616138886632
"IS3","FPOM","detritus","detritus","detritus",NA,"sessile",NA,NA,NA,NA,0.169513094941641
"IS3","Fragilaria","plant","plant","plant","genus","sessile",5.288e-10,5964213.90533333,0.00315387631314026,NA,0.564616138886632
"IS3","Fungi","detritus","heterotrophic fungi","nonfeeding",NA,"sessile",NA,NA,NA,NA,0.169513094941641
"IS3","Gomphonema","plant","plant","plant","genus","sessile",4.20933333333332e-10,1776644.24033333,0.000747848782230974,NA,0.564616138886632
"IS3","Green algae","plant","plant","plant",NA,"sessile",NA,NA,NA,NA,0.564616138886632
"IS3","Hemiptera indet.","animal","ectotherm invertebrate","carnivore","genus","swimming",0.00577678604,4,0.02310714416,5.69134289120089e-06,0.912688943313394
"IS3","Limnophora riparia","animal","ectotherm invertebrate","carnivore","species","walking",0.001409074028,12,0.016908888336,6.27020515878086e-06,0.912688943313394
"IS3","Macropelopia sp.","animal","ectotherm invertebrate","omnivore","genus","walking",0.006582300868,24,0.157975220832,3.74642402151927e-05,0.912688943313394
"IS3","Melosira","plant","plant","plant","genus","sessile",6.08e-09,563154.8591,0.003423981543328,NA,0.564616138886632
"IS3","Meridion","plant","plant","plant","genus","sessile",1.944e-09,814042.1244,0.0015824978898336,NA,0.564616138886632
"IS3","Metriocnemus sp. B","animal","ectotherm invertebrate","herbivore","genus","walking",7.8673256e-05,4,0.000314693024,2.69435458433651e-07,0.912688943313394
"IS3","Micropsectra atrofasciata","animal","ectotherm invertebrate","herbivore","species","walking",0.00015267452,3312,0.50565801024,0.000357208749385272,0.912688943313394
"IS3","Navicula","plant","plant","plant","genus","sessile",1.15673333333333e-09,9560129.62429833,0.0110585206074133,NA,0.564616138886632
"IS3","Nitzschia","plant","plant","plant","genus","sessile",4.5288e-10,705892.7728,0.000319684718945664,NA,0.564616138886632
"IS3","Oligochaeta indet.","animal","ectotherm invertebrate","herbivore","class","walking",0.000515202256,3284,1.691924208704,0.000839972088457193,0.912688943313394
"IS3","Paracladopelma sp.","animal","ectotherm invertebrate","herbivore","genus","walking",0.00114322994,12,0.01371875928,5.40522273157239e-06,0.912688943313394
"IS3","Pinnularia","plant","plant","plant","genus","sessile",8.608e-09,359940.5357,0.0030983681313056,NA,0.564616138886632
"IS3","Radix balthica","animal","ectotherm invertebrate","herbivore","species","walking",0.002656781964,3032,8.055362914848,0.00248530329691869,0.912688943313394
"IS3","Rhoicosphenia","plant","plant","plant","genus","sessile",2.612e-10,2841004.924,0.0007420704861488,NA,0.564616138886632
"IS3","Rhopalodia","plant","plant","plant","genus","sessile",9.28e-09,657315.912,0.00609989166336,NA,0.564616138886632
"IS3","Salmo trutta","animal","ectotherm vertebrate","carnivore","species","swimming",99.87440612,0.114285714,11.4142178137502,0.00060889829953924,0.912688943313394
"IS3","Simulium aureum","animal","ectotherm invertebrate","omnivore","species","walking",0.00068342298,1600,1.093476768,0.000500157842216236,0.912688943313394
"IS3","Simulium vittatum","animal","ectotherm invertebrate","omnivore","species","walking",0.00068772998,1676,1.15263544648,0.000526257457808342,0.912688943313394
"IS3","Sperchon glandulosus","animal","ectotherm invertebrate","herbivore","species","walking",0.000783148548,92,0.072049666416,3.16792339793644e-05,0.912688943313394
"IS3","Terrestrial","detritus","ectotherm invertebrate","nonfeeding",NA,"flying",NA,NA,NA,NA,0.169513094941641
