"Achnanthes","Amphora","Bacteria","Capnia vidua","Clinocera stagnalis","Cocconeis","CPOM","Cricotopus sp. A","Cymbella","Diamesa bertrami","Diamesa zernyi","Diatoma","Dicranota exclusa","Eukiefferiella minor","Eunotia","Filamentous algae","FPOM","Fragilaria","Frustulia","Fungi","Green algae","Macrophytes","Meridion","Mesoveliidae indet. sp. A","Metriocnemus sp. A","Micropsectra atrofasciata","Navicula","Nitzschia","Oligochaeta indet.","Orthocladius sp.","Pinnularia","Potamophylax cingulatus","Prionocera turcica","Rheocricotopus effesus","Sperchon glandulosus","Synedra","Terrestrial","Thienemanniella sp."
0,0,0,0.139095765280169,0,0,0,0.139095765280169,0,0.139095765280169,0.139095765280169,0,0.139095765280169,0.139095765280169,0,0,0,0,0,0,0,0,0,0,0.139095765280169,0.139095765280169,0,0,0.139095765280169,0.139095765280169,0,0.139095765280169,0.139095765280169,0.139095765280169,0.139095765280169,0,0,0.139095765280169
0,0,0,0.0137389639492266,0,0,0,0.0137389639492266,0,0.0137389639492266,0.0137389639492266,0,0.0137389639492266,0.0137389639492266,0,0,0,0,0,0,0,0,0,0,0.0137389639492266,0.0137389639492266,0,0,0.0137389639492266,0.0137389639492266,0,0,0.0137389639492266,0.0137389639492266,0,0,0,0.0137389639492266
0,0,0,1.17428330064193,0,0,0,1.17428330064193,0,1.17416442998032,1.17416442998032,0,1.17428330064193,1.17428330064193,0,0,0,0,0,0,0,0,0,0,1.17428330064193,1.16958617655901,0,0,1.17428330064193,1.1694673058974,0,0.913039150339377,1.17428330064193,1.17428330064193,0.301485406760993,0,0,1.1694673058974
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.001995614872272,0,0,0,0.001995614872272,0,0.001995614872272,0.001995614872272,0,0.001995614872272,0.001995614872272,0,0,0,0,0,0,0,0,0,0,0.001995614872272,0.001995614872272,0,0,0.001995614872272,0.001995614872272,0,0.001995614872272,0.001995614872272,0.001995614872272,0.001995614872272,0,0,0.001995614872272
0,0,0,1.17428330064193,0,0,0,1.17428330064193,0,1.17416442998032,1.17416442998032,0,1.17428330064193,1.17428330064193,0,0,0,0,0,0,0,0,0,0,1.17428330064193,1.16958617655901,0,0,1.17428330064193,1.1694673058974,0,0.913039150339377,1.17428330064193,1.17428330064193,0.301485406760993,0,0,1.1694673058974
0,0,0,0,0.000619190272,0,0,0,0,0,0,0,0.000619190272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000619190272,0,0,0,0,0,0
0,0,0,0.00059726798978,0,0,0,0.00059726798978,0,0.00059726798978,0.00059726798978,0,0.00059726798978,0.00059726798978,0,0,0,0,0,0,0,0,0,0,0.00059726798978,0.00059726798978,0,0,0.00059726798978,0.00059726798978,0,0,0.00059726798978,0.00059726798978,0,0,0,0.00059726798978
0,0,0,0,0.076568499456,0,0,0,0,0,0,0,0.076568499456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076568499456,0,0,0,0,0,0
0,0,0,0,0.012586013648,0,0,0,0,0,0,0,0.012586013648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012586013648,0,0,0,0,0,0
0,0,0,0.71492556024,0,0,0,0.71492556024,0,0.71492556024,0.71492556024,0,0.71492556024,0.71492556024,0,0,0,0,0,0,0,0,0,0,0.71492556024,0.71492556024,0,0,0.71492556024,0.71492556024,0,0.71492556024,0.71492556024,0.71492556024,0,0,0,0.71492556024
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.07798516736,0,0,0,0,0,0,0,1.07798516736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07798516736,0,0,0,0,0,0
0,0,0,0.005871405103648,0,0,0,0.005871405103648,0,0.005871405103648,0.005871405103648,0,0.005871405103648,0.005871405103648,0,0,0,0,0,0,0,0,0,0,0.005871405103648,0,0,0,0.005871405103648,0,0,0,0.005871405103648,0.005871405103648,0,0,0,0
0,0,0,1.46785412580241,0,0,0,1.46785412580241,0,1.4677055374754,1.4677055374754,0,1.46785412580241,1.46785412580241,0,0,0,0,0,0,0,0,0,0,1.46785412580241,1.46198272069876,0,0,1.46785412580241,1.46183413237175,0,1.14129893792422,1.46785412580241,1.46785412580241,0.376856758451241,0,0,1.46183413237175
0,0,0,1.17428330064193,0,0,0,1.17428330064193,0,1.17416442998032,1.17416442998032,0,1.17428330064193,1.17428330064193,0,0,0,0,0,0,0,0,0,0,1.17428330064193,1.16958617655901,0,0,1.17428330064193,1.1694673058974,0,0.913039150339377,1.17428330064193,1.17428330064193,0.301485406760993,0,0,1.1694673058974
