"Achnanthes","Amphora","Bacteria","Caloneis","Chaetocladius sp.","Clinocera stagnalis","Cocconeis","CPOM","Cricotopus sp. B","Cymbella","Diatoma","Diploneis","Epithemia","Eukiefferiella minor","Filamentous algae","FPOM","Fragilaria","Frustulia","Fungi","Gomphonema","Green algae","Limnophora riparia","Melosira","Meridion","Metriocnemus sp. B","Micropsectra atrofasciata","Navicula","Nitzschia","Oligochaeta indet.","Pinnularia","Procladius islandicus","Radix balthica","Rheocricotopus effesus","Rhoicosphenia","Rhopalodia","Scatella sp.","Simulium aureum","Simulium vittatum","Sperchon glandulosus","Surirella","Synedra","Terrestrial","Thienemanniella sp."
0,0,0,0,0.0798788220732,0,0,0,0.0798788220732,0,0,0,0,0.0798788220732,0,0,0,0,0,0,0,0,0,0,0.0798788220732,0.0798788220732,0,0,0.0798788220732,0,0.0798788220732,0.0798788220732,0.0798788220732,0,0,0,0.0798788220732,0.0798788220732,0.0798788220732,0,0,0,0.0798788220732
0,0,0,0,0.00042054097386076,0,0,0,0.00042054097386076,0,0,0,0,0.00042054097386076,0,0,0,0,0,0,0,0,0,0,0.00042054097386076,0.00042054097386076,0,0,0.00042054097386076,0,0.00042054097386076,0.00042054097386076,0.00042054097386076,0,0,0,0.00042054097386076,0.00042054097386076,0,0,0,0,0.00042054097386076
0,0,0,0,0.315489290376066,0,0,0,0.315489290376066,0,0,0,0,0.315489290376066,0,0,0,0,0,0,0,0.075752467450236,0,0,0.315489290376066,0.281745373253202,0,0,0.315489290376066,0,0.315489290376066,0.30032307158421,0.315489290376066,0,0,0,0.315489290376066,0.315489290376066,0.0901000885290739,0,0,0,0.299005622726394
0,0,0,0,0.02490334273416,0,0,0,0.02490334273416,0,0,0,0,0.02490334273416,0,0,0,0,0,0,0,0,0,0,0.02490334273416,0,0,0,0.02490334273416,0,0.02490334273416,0,0.02490334273416,0,0,0,0.02490334273416,0.02490334273416,0,0,0,0,0
0,0,0,0,0,0.01879273472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01879273472,0,0,0,0,0,0,0,0,0.01879273472,0,0,0,0,0,0.01879273472,0.01879273472,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0008040143473632,0,0,0,0.0008040143473632,0,0,0,0,0.0008040143473632,0,0,0,0,0,0,0,0,0,0,0.0008040143473632,0.0008040143473632,0,0,0.0008040143473632,0,0.0008040143473632,0.0008040143473632,0.0008040143473632,0,0,0,0.0008040143473632,0.0008040143473632,0.0008040143473632,0,0,0,0.0008040143473632
0,0,0,0,0.315489290376066,0,0,0,0.315489290376066,0,0,0,0,0.315489290376066,0,0,0,0,0,0,0,0.075752467450236,0,0,0.315489290376066,0.281745373253202,0,0,0.315489290376066,0,0.315489290376066,0.30032307158421,0.315489290376066,0,0,0,0.315489290376066,0.315489290376066,0.0901000885290739,0,0,0,0.299005622726394
0,0,0,0,0,0.098276812416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098276812416,0,0,0,0,0,0,0,0,0.098276812416,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.00173298081572,0,0,0,0.00173298081572,0,0,0,0,0.00173298081572,0,0,0,0,0,0,0,0,0,0,0.00173298081572,0.00173298081572,0,0,0.00173298081572,0,0.00173298081572,0.00173298081572,0.00173298081572,0,0,0,0.00173298081572,0.00173298081572,0,0,0,0,0.00173298081572
