"","benthic detritus","fish fry","Chydorus sphaericus","fish eggs","Oocyctis sp.","Diaptomus sicilis","Daphnia catawba","Diaptomus leptopus","Diaptomus minutus","Cryptomonas erosa","Keratella taurocephala","Cryptomonas ovata","Mallomonas sp.","Euastrum sp.","Dinobryon bavaricum","Dinobryon sp.","Sphaerocystis schroeteri","Tabellaria fenestrata","Navicula sp.","Schroederia setigera","Trichocerca pusilla","Gastropus stylifer","Trichocerca multicrinis","Bosmina longirostris","Scenedesmus sp.","Conochiloides dossuarius","Closterium sp.","Diceras sp.","Botryococcus braunii","Merismopedia tenuissima","Synchaeta sp.","Zygnema sp.","Diaphanosoma birgei","copepod nauplii","Eucyclops agilis","Mesocyclops edax","Polyphemus pediculus","Salvelinus fontinalis","nanoflagellates "
"benthic detritus",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fish fry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Chydorus sphaericus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"fish eggs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oocyctis sp.",0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diaptomus sicilis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Daphnia catawba",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diaptomus leptopus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Diaptomus minutus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Cryptomonas erosa",0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
"Keratella taurocephala",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Cryptomonas ovata",0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
