"","benthic detritus","Ictalurus nebulosus","Ophryoxus gracilis","fish fry","Alona affinis","Chydorus bicornutus","Chydorus sphaericus","fish eggs","Oocyctis sp.","Diaptomus minutus","Cryptomonas ovata","Keratella taurocephala","Kelicottia bostoniensis","Holopedium gibberum","Mallomonas sp.","Polyarthra remata","Ascomorpha ecaudis","Conochiloides unicornis","Lecane sp.","Ploesoma truncatum","Dinobryon sertularia","Dinobryon sp.","Polyarthra vulgaris","Chrysocapsa planktonica","Trichocerca similis","Gastropus stylifer","Polyarthra major","Schroederia setigera","Trichocerca multicrinis","Pediastrum tetras","Bosmina longirostris","Keratella crassa","Cosmarium sp.","Ploesoma hudsoni","Arthrodesmus incus","Arthrodesmus subulatus","Scenedesmus dimorphus","Scenedesmus quadricauda","Scenedesmus sp.","Ceriodaphnia quadrangula","Keriphyron sp.","Merismopedia punctata","Diaphanosoma birgei","Aphanocapsa sp.","copepod nauplii","Tropocyclops prasinus","Cyclops vernalis","Epishura lacustris","Salvelinus fontinalis","Notemigonus crysoleucas","Asplanchna sp.","Peridinium inconspicuum","Peridinium limbatum","Peridinium wisconsinense","Synura uvella","Uroglenopsis americana"
"benthic detritus",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ictalurus nebulosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ophryoxus gracilis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"fish fry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Alona affinis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"Chydorus bicornutus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"Chydorus sphaericus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
"fish eggs",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oocyctis sp.",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diaptomus minutus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
