"","benthic detritus","Ilyocryptus spinifer","Luxilus cornutus","Semotilus atromaculatus","fish fry","Catostomus commersoni","fish eggs","Oocyctis sp.","Diaptomus sicilis","Daphnia catawba","Diaptomus minutus","Cryptomonas erosa","Keratella cochlearis","Keratella taurocephala","Cryptomonas ovata","Kelicottia bostoniensis","Holopedium gibberum","Mallomonas sp.","Euastrum sp.","Coelastrum cambricum","Sphaerocystis schroeteri","Tabellaria fenestrata","Quadrigula closterioides","Spondylosium planum","Conochiloides unicornis","Dictyosphaerium pulchellum","Tetraedron caudatum","Melosira sp.","Polyarthra vulgaris","Trichocerca porcellus","Pediastrum tetras","Polyarthra major","Polyarthra euryptera","Gastropus hyptopus","Elakatrothrix gelatinosa","Bosmina longirostris","Scenedesmus sp.","Conochiloides dossuarius","Keratella crassa","Cyclotella sp.","Crucigenia quadrata","Crucigenia rectangularis","Crucigenia tetrapaedia","Ankistrodesmus falcatus","Merismopedia tenuissima","Colletheca mutabilis","Diaphanosoma birgei","copepod nauplii","Tropocyclops prasinus","Mesocyclops edax","Cyclops vernalis","Epishura lacustris","Salvelinus fontinalis"
"benthic detritus",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ilyocryptus spinifer",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxilus cornutus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Semotilus atromaculatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"fish fry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Catostomus commersoni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"fish eggs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oocyctis sp.",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diaptomus sicilis",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"Daphnia catawba",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
