"Achipteria coleoptrata","Lithobius crassipes","Lithobius mutabilis","Lithobius cf mutabilis juv","Lithobius sp1 s","Lithobius sp.","Geophilus ribauti","Lithobius sp2 l","Lithobius sp3 m","Agelenidae sp. juv","Lithobius melanops","Geophilus insculptus","Schendyla nemorensis","Strigamia acuminata","Pterostichus burmeisteri","Philonthus sp.","Amaurobius sp. juv","Coelotes terrestris","Harpactea lepida small","Crychus caraboides","Geophilomorpha sp.","Harpactea lepida large","algae","Arrhopalites pygmaeus","Lipothrix lubbocki","Scolopendrella cf subnuda s","Brachychthoniidae spp.","Eulohmannia ribagai","omnivorous nematodes","Enchytraeidae","Scutigerella immaculata s","Campodea sp. l","Discus rotundatus juv","Allaiulus nitidus xxl","Amblyseius similifloridanus","Athous subfuscus juv m","Atheta sp. juv","Stilicus sp. juv","Hahnia pusilla juv","Linyphiidae juv","Neon reticulatus juv","Epicrius canestrinii","Hypoaspis aculeifer","Prozercon fimbriatus","Uroseius cylindricus juv","Veigaia nemorensis","Zercon cf gurensis","Xantholinus sp. juv s","amoebae","Ceratophysella denticulata","Isotomiella minor","Megalothorax minimus","Parisotoma notabilis","Aporrectodea caliginosa juv xl","Aporrectodea rosea","Aporrectodea rosea juv","Lumbricus rubellus juv","Octolasion tyrtaeum xxl","Dendrobaena octaedra juv","predacious nematodes","Anelasmocephalus cambridgei","Gamasina sp. juv","Quedius sp. juv","Coelotes sp. juv l","Diplocephalus picinus","Hahnia pusilla","Micrargus herbigradus","Microneta viaria","Neobisium carcinoides","Neon reticulatus","Saloca diceros","Tapinocyba insecta","Trombidiidae","Walckenaeria cucullata","Cryphoeca sp. juv","Macrargus rufus","Hahniidae sp. juv","Robertus sp. juv l","Cantharidae sp.","Staphylinidae spec","Ceratinella brevis","Harpactea lepida juv large","Euophrys frontalis","Theridiidae sp. juv","Walckenaeria cuspidata","Athous sp. juv","Athous vittatus juv","Atropacarus striculus","bacteria","Oribatula tibialis","Tachypodoiulus niger","bacterivorous nematodes","flagellates","ciliates","Julidae sp.","Trichoniscus pusillus m","Cylisticus sp.","Trichoniscus sp.","Trachelipus ratzeburgii","Philoscia muscorum","Porcellio conspersum","Mesaphorura sp.","Paratullbergia callipygos","Leitneria granulata juv","Macrocheles montanus","Pachyseius angustus","Uropoda cassidea juv","Berniniella bicarinata","Dissorhina ornata","Oribatida sp. juv","Stenaphorura quadrispina","Microppia minus","Oppiella falcata","Oppiella nova","Oppiella subpectinata","Suctobelbella sp.","Trachytes aegrota juv s","Chamobates cuspidatus","Chamobates voigtsi","Coleoptera sp.","Damaeus riparius","dead organic matter","Nargus anisotomoides","Liebstadia similis","Metabelba pulverosa","Phthiracarus compressus","saphrophytes","Elateridae sp.","Elateridae sp1 juv m","Folsomia quadrioculata","Folsomia spinosa","fungivorous nematodes","Glomeris connexa","Glomeris conspersa xl","Glomeris sp.","Glomeris sp. juv m","Glomeris undulata","Lamprohiza splendidula juv","leaf litter","Lepidocyrtus lanuginosus","Helicodonta obvoluta","Cochlodina laminata","mykorrhiza","Tritegeus bisulcatus","plants","root exudates","root feeding nematodes","roots"
0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
