"Adoristes ovatus","Schendyla nemorensis","Cryptops hortensis","algae","Lipothrix lubbocki","Scolopendrella cf subnuda s","Campodea sp. m","Brachychthoniidae spp.","Carabodes labyrinthicus","omnivorous nematodes","Enchytraeidae","Carabodes coriaceus","Carabodes ornatus","Carabodes subarcticus","Micreremus gracilior","amoebae","Isotomiella minor","Megalothorax minimus","Parisotoma notabilis","Lumbricus rubellus juv xl","predacious nematodes","Atheta sp. juv","Notiophilus rufipes juv","Linyphiidae juv","Phalangiidae sp. juv","Pergamasus norvegicus","Pergamasus quisquiliarum","Erigonella hiemalis","Staphylinidae spec","Tenuiphantes mengei","Theridiidae sp. juv","Lycosidae sp. juv","Liocranidae sp. juv","Philodromus dispar","Philodromidae sp. juv","Athous sp. juv","bacteria","Eniochthonius minutissimus","Polydesmidae sp.","bacterivorous nematodes","flagellates","ciliates","Cylisticus sp.","Mesaphorura sp.","Micranurida pygmaea","Paratullbergia callipygos","Lysigamasus vagabundus","Pergamasinae juv xs","Trachytes aegrota juv xs","Uropoda minima","Veigaia nemorensis juv","Zercon cf gurensis","Zercon sp. juv","Oribatida sp. juv","Microppia minus","Oppiella nova","Pachylaelaps sp. juv","Vulgarogamasus sp.","Berniniella sigma","Oppiella acuminata","Oppiella propinqua","Suctobelbella sp.","Mesaphorura macrochaeta","Mesaphorura sylvatica","Carabidae sp. juv","Cepheus cepheiformes","dead organic matter","Euzetes globulus","Phthiracarus longulus","Platynothrus peltifer","Porobelba spinosa","Quadroppia quadricarinata","Tectocepheus velatus alatus","Tectocepheus velatus sarekensis","saphrophytes","Rhysotritia duplicata","Elateridae sp1 juv l","Entomobrya corticalis","Entomobrya sp.","Eupelops hirtus","Eupelops torulosus","Folsomia quadrioculata","fungivorous nematodes","leaf litter","Lepidocyrtus cyaneus","Lepidocyrtus lanuginosus","mykorrhiza","Chamobates voigtsi","Microtritia minima","plants","root exudates","root feeding nematodes","roots"
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
