"Achipteria coleoptrata","Lithobius sp.","Plectophoreus fischeri","Lithobius curtipes l","Acrotrichis sp.","Schendyla nemorensis","Athous subfuscus juv m","Habrocerus capillaricornis","Othius sp. juv m","Diplocephalus picinus","Linyphiidae juv","Microneta viaria","Neobisium carcinoides","Neobisium sp.","Phalangiidae sp. juv","Robertus lividus","Tapinocyba insecta","Campodea sp. m","Diplostyla concolor","Lathrobium brunnipes","Mycetoporus sp.","Clubionidae juv","Staphylinidae spec","Geophilomorpha sp.","Ceratinella brevis","Theridiidae sp. juv","Liocranidae sp. juv","Philodromus dispar","Adoristes ovatus","Agriotes aterrimus juv","Pterostichus chamaeleon juv","Pterostichus sp.","Carabidae sp.","Molops piceus","Haplodrassus silvstris","algae","Sminthurinus aureus","Brachychthoniidae spp.","Oribatella calcarata","Sphaeridia pumilis","omnivorous nematodes","Enchytraeidae","Carabodes coriaceus","Carabodes ornatus","amoebae","Isotomiella minor","Megalothorax minimus","Parisotoma notabilis","predacious nematodes","Lumbricus rubellus xxl","Lumbricus rubellus juv xxl","Xenylla grisea","Athous sp. juv","Athous zebei juv m","bacteria","Micraphorura absoloni","Eniochthonius minutissimus","Nanhermannia nana","Protaphorura sp.","bacterivorous nematodes","flagellates","ciliates","Julidae sp.","Trichoniscus sp.","Mesaphorura sp.","Micranurida pygmaea","Paratullbergia callipygos","Vulgarogamasus sp. juv","Leioseius bicolor","Pergamasinae juv xs","Pergamasus sp. juv s","Trachytes aegrota juv xs","Urodiaspis tecta juv","Uropoda minima","Veigaia nemorensis","Veigaia nemorensis juv","Oribatida sp. juv","Microppia minus","Nothrus silvestris","Oppiella nova","Eviphis sp. juv","Geholaspis longispinosus juv","Geholaspis longispinosus","Lysigamasus sp.","Rhodacarus coronatus","Urodiaspis tecta","Berniniella sigma","Oppiella propinqua","Suctobelbella sp.","Neanura muscorum","Parasitidae juv s","Chamobates voigtsi","Coleoptera sp.","dead organic matter","Metabelba pulverosa","Phthiracarus compressus","Phthiracarus lentulus","Phthiracarus longulus","Platynothrus peltifer","Porobelba spinosa","Quadroppia quadricarinata","Scheloribates laevigatus","saphrophytes","Phthiracarus laevigatus","Rhysotritia duplicata","Elateridae sp1 juv l","Linyphiidae cf Erigoniinae juv m","Folsomia quadrioculata","fungivorous nematodes","leaf litter","Tomocerus vulgaris","Lepidocyrtus sp. juv","Microtritia minima","mykorrhiza","Scheloribates initialis","Ptiliidae sp.","plants","root exudates","root feeding nematodes","roots"
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
