"Achnanthes minutissima","Achnanthes oblongella","Amphinemura sulcicollis","Baetis rhodani","Brachysira brebissonii","Brachysira vitrea","Chironomidae","Chloroperla tripunctata","CPOM","Diatoma hyemalis","Electrogena lateralis","Elmis aenea","Encyonema minutum","Eunotia exigua","Eunotia incisa","Eunotia rhomboidea","FPOM","Fragilaria arcus","Fragilaria ulna","Frustulia rhomboides","Glossosoma boltoni","Glossosoma conformis","Gomphonema angustum","Helodes","Hydracarina","Hydropsyche instabilis","Hydropsyche siltalai","Isoperla grammatica","Leuctra inermis","Leuctra nigra","Limnius volckmari","Meridion circulare constrictum","Metalype fragilis","Nemoura","Oligochaeta","Plectrocnemia conspersa","Protonemura meyeri","Rhithrogena semicolorata","Rhyacophila","Rhyacophila dorsalis","Rhyacophila fasciata","Rhyacophila obliterata","Serratella ignita","Silo pallipes","Simuliidae","Siphonoperla torrentium","Surirella brebissonii","Surirella linearis","Tabellaria flocculosa","Tanypodinae","Tipulidae"
0,0,0.0024411996,0,0,0,0.0024411996,0,0,0,0.0024411996,0.0024411996,0,0,0,0,0,0,0,0,0.0024411996,0.0024411996,0,0.0024411996,0,0.0024411996,0.0024411996,0,0.0024411996,0.0024411996,0.0024411996,0,0.0024411996,0.0024411996,0.0024411996,0,0.0024411996,0.0024411996,0,0,0,0,0,0.0024411996,0.0024411996,0,0,0,0,0,0.0024411996
0,0,0.00067166204,0,0,0,0.00067166204,0,0,0,0.00067166204,0.00067166204,0,0,0,0,0,0,0,0,0.00067166204,0.00067166204,0,0.00067166204,0,0.00067166204,0.00067166204,0,0.00067166204,0.00067166204,0.00067166204,0,0.00067166204,0.00067166204,0.00067166204,0,0.00067166204,0.00067166204,0,0,0,0,0,0.00067166204,0.00067166204,0,0,0,0,0,0.00067166204
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012591373909852,0,0,0,0,0.0012591373909852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.00884652036038463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00884652036038463,0.00884652036038463,0.00884652036038463,0,0,0,0,0.00884652036038463,0,0,0.00884652036038463,0,0,0.00884652036038463,0.00884652036038463,0.00884652036038463,0.00884652036038463,0,0,0,0.00884652036038463,0,0,0,0.00884652036038463,0
0,0,0.02098276,0,0,0,0,0,0,0,0.02098276,0.02098276,0,0,0,0,0,0,0,0,0.02098276,0.02098276,0,0.02098276,0,0.02098276,0.02098276,0,0.02098276,0.02098276,0.02098276,0,0.02098276,0.02098276,0.02098276,0,0.02098276,0.02098276,0,0,0,0,0,0.02098276,0.02098276,0,0,0,0,0,0
0,0,0.03984669396,0,0,0,0,0,0,0,0.03984669396,0.03984669396,0,0,0,0,0,0,0,0,0.03984669396,0.03984669396,0,0.03984669396,0,0.03984669396,0.03984669396,0,0.03984669396,0.03984669396,0.03984669396,0,0.03984669396,0.03984669396,0.03984669396,0,0.03984669396,0.03984669396,0,0,0,0,0,0.03984669396,0.03984669396,0,0,0,0,0,0
0,0,0,0,0,0,0,0.000517475907800377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000517475907800377,0.000517475907800377,0.000517475907800377,0.000517475907800377,0.000517475907800377,0,0,0,0,0.000517475907800377,0,0,0.000517475907800377,0,0,0.000517475907800377,0.000517475907800377,0.000517475907800377,0.000517475907800377,0.000517475907800377,0,0,0.000517475907800377,0,0,0,0.000517475907800377,0
0,0,0,0,0,0,0,0.00848722876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00848722876,0,0,0.00848722876,0,0,0,0,0,0,0,0,0,0.00848722876,0,0,0,0.00848722876,0
0,0,0.125881451169831,0.0592351267349834,0,0,0.0928625102165829,0,0,0,0.125881451169831,0.125881451169831,0,0,0,0,0,0,0,0,0.125881451169831,0.125881451169831,0,0.125881451169831,0,0.125881451169831,0.125881451169831,1,0.125881451169831,0.125881451169831,0.125881451169831,0,0.125881451169831,0.125881451169831,0.0576285719145779,1,0.125881451169831,0.125881451169831,1,1,1,1,0,0.125881451169831,0.111777051217939,0,0,0,0,0,0.0802300317579389
0,0,0.00659625026749,0,0,0,0.00659625026749,0,0,0,0.00659625026749,0.00659625026749,0,0,0,0,0,0,0,0,0.00659625026749,0.00659625026749,0,0.00659625026749,0,0.00659625026749,0.00659625026749,0,0.00659625026749,0.00659625026749,0.00659625026749,0,0.00659625026749,0.00659625026749,0,0,0.00659625026749,0.00659625026749,0,0,0,0,0,0.00659625026749,0.00659625026749,0,0,0,0,0,0.00659625026749
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150451736073844,0,0,0,0,0.0150451736073844,0,0,0.0150451736073844,0,0,0.0150451736073844,0.0150451736073844,0.0150451736073844,0.0150451736073844,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00048447901772933,0,0,0,0,0,0.00048447901772933,0.00048447901772933,0.00048447901772933,0.00048447901772933,0,0,0,0.00048447901772933,0,0,0,0.00048447901772933,0
0,0,0.00014134582,0,0,0,0.00014134582,0,0,0,0.00014134582,0.00014134582,0,0,0,0,0,0,0,0,0.00014134582,0.00014134582,0,0.00014134582,0,0.00014134582,0.00014134582,0,0.00014134582,0.00014134582,0.00014134582,0,0.00014134582,0.00014134582,0.00014134582,0,0.00014134582,0.00014134582,0,0,0,0,0,0.00014134582,0.00014134582,0,0,0,0,0,0.00014134582
0,0,0.00510368376,0,0,0,0.00510368376,0,0,0,0.00510368376,0.00510368376,0,0,0,0,0,0,0,0,0.00510368376,0.00510368376,0,0.00510368376,0,0.00510368376,0.00510368376,0,0.00510368376,0.00510368376,0.00510368376,0,0.00510368376,0.00510368376,0.00510368376,0,0.00510368376,0.00510368376,0,0,0,0,0,0.00510368376,0,0,0,0,0,0,0
0,0,0.006164004986458,0,0,0,0.006164004986458,0,0,0,0.006164004986458,0.006164004986458,0,0,0,0,0,0,0,0,0.006164004986458,0.006164004986458,0,0.006164004986458,0,0.006164004986458,0.006164004986458,0,0.006164004986458,0.006164004986458,0.006164004986458,0,0.006164004986458,0.006164004986458,0.006164004986458,0,0.006164004986458,0.006164004986458,0,0,0,0,0,0.006164004986458,0,0,0,0,0,0,0
0,0,0.01399726817083,0,0,0,0.01399726817083,0,0,0,0.01399726817083,0.01399726817083,0,0,0,0,0,0,0,0,0.01399726817083,0.01399726817083,0,0.01399726817083,0,0.01399726817083,0.01399726817083,0,0.01399726817083,0.01399726817083,0.01399726817083,0,0.01399726817083,0.01399726817083,0.01399726817083,0,0.01399726817083,0.01399726817083,0,0,0,0,0,0.01399726817083,0,0,0,0,0,0,0
0,0,0.125881451169831,0.0592351267349834,0,0,0.0928625102165829,0,0,0,0.125881451169831,0.125881451169831,0,0,0,0,0,0,0,0,0.125881451169831,0.125881451169831,0,0.125881451169831,0,0.125881451169831,0.125881451169831,0,0.125881451169831,0.125881451169831,0.125881451169831,0,0.125881451169831,0.125881451169831,0.0576285719145779,0,0.125881451169831,0.125881451169831,1,1,1,1,0,0.125881451169831,0.111777051217939,0,0,0,0,0,0.0802300317579389
0,0,0.00061253136,0.00061253136,0,0,0.00061253136,0,0,0,0.00061253136,0.00061253136,0,0,0,0,0,0,0,0,0.00061253136,0.00061253136,0,0.00061253136,0,0.00061253136,0.00061253136,0,0.00061253136,0.00061253136,0.00061253136,0,0.00061253136,0.00061253136,0,0,0.00061253136,0.00061253136,0,0,0,0,0,0.00061253136,0.00061253136,0,0,0,0,0,0.00061253136
0,0,0.117259119978,0.117259119978,0,0,0.117259119978,0,0,0,0.117259119978,0.117259119978,0,0,0,0,0,0,0,0,0.117259119978,0.117259119978,0,0.117259119978,0,0.117259119978,0.117259119978,0,0.117259119978,0.117259119978,0.117259119978,0,0.117259119978,0.117259119978,0,0,0.117259119978,0.117259119978,0,0,0,0,0,0.117259119978,0.117259119978,0,0,0,0,0,0.117259119978
0,0,0.00226458496,0,0,0,0,0,0,0,0.00226458496,0.00226458496,0,0,0,0,0,0,0,0,0.00226458496,0.00226458496,0,0.00226458496,0,0.00226458496,0.00226458496,0,0.00226458496,0.00226458496,0.00226458496,0,0.00226458496,0.00226458496,0.00226458496,0,0.00226458496,0.00226458496,0,0,0,0,0,0.00226458496,0.00226458496,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0005986021319667,0.0005986021319667,0,0,0.0005986021319667,0,0,0,0.0005986021319667,0.0005986021319667,0,0,0,0,0,0,0,0,0.0005986021319667,0.0005986021319667,0,0.0005986021319667,0,0.0005986021319667,0.0005986021319667,0,0.0005986021319667,0.0005986021319667,0.0005986021319667,0,0.0005986021319667,0.0005986021319667,0.0005986021319667,0,0.0005986021319667,0.0005986021319667,0,0,0,0,0,0.0005986021319667,0.0005986021319667,0,0,0,0,0,0.0005986021319667
