"Ceratopogonidae","Chironomidae","Cordulegaster boltonii","CPOM","Eunotia exigua","Eunotia incisa","Eunotia rhomboidea","FPOM","Halesus radiatus","Leuctra nigra","Limnius volckmari","Nemurella pictetii","Pisidium","Plectrocnemia conspersa","Salmo trutta","Sialis fuliginosa","Simuliidae","Siphonoperla torrentium","Tabellaria flocculosa","Tanypodinae","Tipulidae"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004134616848,0.0004134616848,0,0,0,0,0
0,0,0.00654597048,0,0,0,0,0,0.00654597048,0,0,0,0,0.00654597048,0.00654597048,0.00654597048,0,0.00654597048,0,0.00654597048,0
0,0,0.0358652388864,0,0,0,0,0,0,0,0,0,0,0.0358652388864,0.0358652388864,0.0358652388864,0,0,0,0,0
0.27369035648205,0.17457871213485,0,0,0,0,0,0,1,0.27369035648205,0.27369035648205,1,0.17457871213485,1,0,1,0,0,0,0,0
0.1908978324199,0.1908978324199,0,0,0,0,0,0,0,0.1908978324199,0.1908978324199,0,0.1908978324199,0,0,0,0,0,0,0,0
0.1083900647277,0.1083900647277,0,0,0,0,0,0,0,0.1083900647277,0.1083900647277,0,0.1083900647277,0,0,0,0,0,0,0,0
0.0498695271221,0.0498695271221,0,0,0,0,0,0,0,0.0498695271221,0.0498695271221,0,0.0498695271221,0,0,0,0,0,0,0,0
0.27369035648205,0.17457871213485,0,0,0,0,0,0,1,0.27369035648205,0.27369035648205,1,0.17457871213485,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0079203289344,0,0,0,0,0,0
0,0,0.0208368524288,0,0,0,0,0,0,0,0,0,0,0.0208368524288,0.0208368524288,0.0208368524288,0,0.0208368524288,0,0.0208368524288,0
0,0,0.0005384427568,0,0,0,0,0,0,0,0,0,0,0,0.0005384427568,0,0,0,0,0,0
0,0,0.0160266617568,0,0,0,0,0,0,0,0,0,0,0.0160266617568,0.0160266617568,0.0160266617568,0,0.0160266617568,0,0.0160266617568,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000814550664,0,0,0,0,0,0
0,0,0.0121717707264,0,0,0,0,0,0,0,0,0,0,0.0121717707264,0,0.0121717707264,0,0,0,0.0121717707264,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029900000001,0,0,0,0,0,0
0,0,0.0115663488672,0,0,0,0,0,0,0,0,0,0,0.0115663488672,0.0115663488672,0.0115663488672,0,0,0,0.0115663488672,0
0,0,0.0303084572672,0,0,0,0,0,0,0,0,0,0,0.0303084572672,0.0303084572672,0.0303084572672,0,0.0303084572672,0,0.0303084572672,0
0,0,0.0004662568016,0,0,0,0,0,0,0,0,0,0,0.0004662568016,0,0.0004662568016,0,0.0004662568016,0,0.0004662568016,0
0.1982232886944,0,0,0,0,0,0,0,0,0.1982232886944,0.1982232886944,0,0,0,0,0,0,0,0,0,0
0,0,0.2739668815488,0,0,0,0,0,0.2739668815488,0,0,0,0,0.2739668815488,0.2739668815488,0.2739668815488,0,0.2739668815488,0,0.2739668815488,0
0,0,0.0007363431696,0,0,0,0,0,0,0,0,0,0,0.0007363431696,0.0007363431696,0.0007363431696,0,0,0,0.0007363431696,0
