"Achnanthes oblongella","Amphinemura sulcicollis","Brachysira vitrea","Chironomidae","Chloroperla tripunctata","CPOM","Ecdyonurus dispar","Eunotia","Eunotia exigua","Eunotia incisa","Eunotia rhomboidea","FPOM","Hydraena gracilis","Isoperla grammatica","Limnius volckmari","Oreodytes sanmarkii","Polycentropus flavomaculatus","Rhithrogena semicolorata","Simuliidae","Siphonoperla torrentium","Tabellaria flocculosa"
0,0.65343972696,0,0.65343972696,0,0,0.65343972696,0,0,0,0,0,0.65343972696,0,0.65343972696,0,0.65343972696,0.65343972696,0.65343972696,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.001023556768,0,0,0.001023556768,0,0,0,0
0,2.561498989317,0,0,0,0,2.561498989317,0,0,0,0,0,2.561498989317,0,2.561498989317,0,2.561498989317,2.561498989317,2.561498989317,0,0
0,0,0,0,0.0096595627296,0,0,0,0,0,0,0,0,0.0096595627296,0,0.0096595627296,0.0096595627296,0,0,0.0096595627296,0
0,0,0,0,0.0040226820912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040226820912,0
0,26.3269359243108,0,7.38128294192225,0,0,26.3269359243108,0,0,0,0,0,26.3269359243108,1,26.3269359243108,0,1.6074693581385,26.3269359243108,1.6074693581385,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.003831327112,0,0,0.003831327112,0,0,0,0
0,0.3610767797995,0,0.3610767797995,0,0,0.3610767797995,0,0,0,0,0,0.3610767797995,0,0.3610767797995,0,0,0.3610767797995,0,0,0
0,0.382209247948,0,0.382209247948,0,0,0.382209247948,0,0,0,0,0,0.382209247948,0,0.382209247948,0,0,0.382209247948,0,0,0
0,12.47162298984,0,12.47162298984,0,0,12.47162298984,0,0,0,0,0,12.47162298984,0,12.47162298984,0,0,12.47162298984,0,0,0
0,0.894217139297,0,0.894217139297,0,0,0.894217139297,0,0,0,0,0,0.894217139297,0,0.894217139297,0,0,0.894217139297,0,0,0
0,26.3269359243108,0,7.38128294192225,0,0,26.3269359243108,0,0,0,0,0,26.3269359243108,0,26.3269359243108,1,1.6074693581385,26.3269359243108,1.6074693581385,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011910674416,0,0,0,0,0,0.0011910674416,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00213604292,0.00213604292,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006784108816,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035312558928,0,0,0.0035312558928,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,9.32863392e-05,0,0,9.32863392e-05,0,0,9.32863392e-05,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133671310432,0,0,0,0,0,0.0133671310432,0
0,35.32980697546,0,0,0,0,35.32980697546,0,0,0,0,0,35.32980697546,0,35.32980697546,0,0,35.32980697546,0,0,0
