"Achnanthes minutissima","Baetis muticus","Baetis rhodani","Brachysira vitrea","Chaetopteryx villosa","Chironomidae","Chloroperla tripunctata","CPOM","Cymbella gracilis","Diatoma hyemalis","Diatoma vulgaris","Drusus annulatus","Ecdyonurus","Electrogena lateralis","Elmis aenea","Esolus parallelepipedus","Eunotia rhomboidea","FPOM","Fragilaria construens","Fragilariforma virescens","Frustulia rhomboides","Gomphonema parvulum","Halesus radiatus","Helodes","Hydracarina","Hydropsyche","Hydropsyche siltalai","Isoperla grammatica","Leuctra inermis","Leuctra nigra","Limnius volckmari","Meridion circulare constrictum","Micropterna","Navicula minima","Navicula seminulum","Nemoura","Nitzschia","Oligochaeta","Oreodytes sanmarkii","Oulimnius","Plectrocnemia conspersa","Rhithrogena semicolorata","Rhyacophila dorsalis","Salmo trutta","Sericostoma personatum","Serratella ignita","Silo pallipes","Simuliidae","Siphonoperla torrentium","Surirella linearis","Tabellaria flocculosa","Tanypodinae","Tipulidae"
0,0,0,0,0.013335036,0.013335036,0,0,0,0,0,0.013335036,0.013335036,0.013335036,0.013335036,0,0,0,0,0,0,0,0,0.013335036,0,0.013335036,0.013335036,0,0.013335036,0.013335036,0.013335036,0,0.013335036,0,0,0.013335036,0,0.013335036,0,0.013335036,0,0.013335036,0,0,0.013335036,0,0.013335036,0.013335036,0,0,0,0,0.013335036
0,0,0,0,0,0,0.000179438412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000179438412,0.000179438412,0.000179438412,0,0,0,0,0.000179438412,0,0,0,0,0,0,0,0.000179438412,0,0.000179438412,0.000179438412,0,0,0,0,0.000179438412,0,0,0.000179438412,0
0,0,0,0,0,0,0.004497850434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004497850434,0.004497850434,0.004497850434,0,0,0,0,0.004497850434,0,0,0,0,0,0,0,0.004497850434,0,0.004497850434,0.004497850434,0,0,0,0,0.004497850434,0,0,0.004497850434,0
0,0,0,0,0.00814002839937,0,0,0,0,0,0,0.00814002839937,0.00814002839937,0.00814002839937,0.00814002839937,0,0,0,0,0,0,0,0,0.00814002839937,0,0.00814002839937,0.00814002839937,0,0.00814002839937,0.00814002839937,0.00814002839937,0,0.00814002839937,0,0,0.00814002839937,0,0.00814002839937,0,0.00814002839937,0,0.00814002839937,0,0,0.00814002839937,0,0.00814002839937,0.00814002839937,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110189446,0,0,0,0,0,0,0,0,0
0,0,0,0,0.001823239992,0,0.001823239992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001823239992,0.001823239992,0.001823239992,0.001823239992,0.001823239992,0.001823239992,0,0,0,0,0.001823239992,0,0,0,0,0,0.001823239992,0,0.001823239992,0,0.001823239992,0.001823239992,0.001823239992,0.001823239992,0,0,0.001823239992,0,0,0.001823239992,0
0,0,0,0,0,0,0.000557305729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000557305729,0,0,0.000557305729,0,0,0,0,0.000557305729,0,0,0.000557305729,0
0,0.0178764835581136,0.0178764835581136,0,2.46575845044498,0.438681003782294,0,0,0,0,0,2.46575845044498,2.46575845044498,2.46575845044498,2.46575845044498,0,0,0,0,0,0,0,0.078569847013256,2.46575845044498,0,2.46575845044498,2.46575845044498,1,2.46575845044498,2.46575845044498,2.46575845044498,0,2.46575845044498,0,0,2.46575845044498,0,0.604563244209974,0,2.46575845044498,1,2.46575845044498,1,0,0.641325615446779,0,2.46575845044498,0.641325615446779,0,0,0,0,0.412263884847094
0,9.12370346752e-05,9.12370346752e-05,0,9.12370346752e-05,9.12370346752e-05,0,0,0,0,0,9.12370346752e-05,9.12370346752e-05,9.12370346752e-05,9.12370346752e-05,0,0,0,0,0,0,0,0,9.12370346752e-05,0,9.12370346752e-05,9.12370346752e-05,0,9.12370346752e-05,9.12370346752e-05,9.12370346752e-05,0,9.12370346752e-05,0,0,9.12370346752e-05,0,9.12370346752e-05,0,9.12370346752e-05,0,9.12370346752e-05,0,0,9.12370346752e-05,0,9.12370346752e-05,9.12370346752e-05,0,0,0,0,9.12370346752e-05
0,0,0,0,0.00297767744,0.00297767744,0,0,0,0,0,0.00297767744,0.00297767744,0.00297767744,0.00297767744,0,0,0,0,0,0,0,0.00297767744,0.00297767744,0,0.00297767744,0.00297767744,0,0.00297767744,0.00297767744,0.00297767744,0,0.00297767744,0,0,0.00297767744,0,0,0,0.00297767744,0,0.00297767744,0,0,0.00297767744,0,0.00297767744,0.00297767744,0,0,0,0,0.00297767744
