"Achnanthes","Ancylus fluviatilis","Baetis","Baetis muticus","Baetis rhodani","Baetis scambus","Baetis vernus","Brachysira","Calopteryx splendens","Chironomidae","Chloroperla tripunctata","CPOM","Diatoma hyemale quadratum","Diplectrona felix","Electrogena lateralis","Elmis aenea","Empididae","Eunotia","Eunotia exigua","Eunotia incisa","Eunotia rhomboidea","FPOM","Fragilaria","Frustulia rhomboides saxonica","Gammarus pulex","Gomphonema","Gyrinidae","Hydropsyche siltalai","Isoperla grammatica","Leuctra inermis","Limnius volckmari","Oligochaeta","Oulimnius","Perla bipunctata","Peronia fibula","Philopotamus montanus","Pinnularia subcapitata","Protonemura meyeri","Salmo trutta","Silo pallipes","Siphonoperla torrentium","Tabellaria flocculosa","Tanypodinae","Tipulidae"
0,0.479125547057,0,0,0,0,0,0,0,0.479125547057,0,0,0,0.479125547057,0.479125547057,0.479125547057,0.479125547057,0,0,0,0,0,0,0,0.479125547057,0,0.479125547057,0.479125547057,0,0.479125547057,0.479125547057,0.479125547057,0.479125547057,0,0,0.479125547057,0,0.479125547057,0,0.479125547057,0,0,0,0.479125547057
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0089084634432,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.0025070160192,0,0,0.0025070160192,0,0,0,0,0,0,0,0,0,0,0.0025070160192,0,0,0.0025070160192,0.0025070160192,0,0,0,0,0.0025070160192,0,0,0,0,0.0025070160192,0,0.0025070160192,0,0.0025070160192,0
0,0,0,0,0,0,0,0,0,0,0.0075895958688,0,0,0.0075895958688,0,0,0,0,0,0,0,0,0,0,0.0075895958688,0,0,0.0075895958688,0.0075895958688,0,0,0,0,0.0075895958688,0,0,0,0,0.0075895958688,0,0.0075895958688,0,0.0075895958688,0
0,0,0,0,0,0,0,0,0,0,0.0397591991472,0,0,0.0397591991472,0,0,0,0,0,0,0,0,0,0,0.0397591991472,0,0,0.0397591991472,0.0397591991472,0,0,0,0,0.0397591991472,0,0,0,0,0.0397591991472,0,0.0397591991472,0,0.0397591991472,0
0,0,0,0,0,0,0,0,0,0,0.0045263357392,0,0,0.0045263357392,0,0,0,0,0,0,0,0,0,0,0.0045263357392,0,0,0.0045263357392,0.0045263357392,0,0,0,0,0.0045263357392,0,0,0,0,0.0045263357392,0,0.0045263357392,0,0.0045263357392,0
0,0,0,0,0,0,0,0,0,0,0.009161245392,0,0,0.009161245392,0,0,0,0,0,0,0,0,0,0,0.009161245392,0,0,0.009161245392,0.009161245392,0,0,0,0,0.009161245392,0,0,0,0,0.009161245392,0,0.009161245392,0,0.009161245392,0
0,17.575905267,0,0,0,0,0,0,0,0,0,0,0,17.575905267,17.575905267,17.575905267,17.575905267,0,0,0,0,0,0,0,17.575905267,0,0,17.575905267,0,17.575905267,17.575905267,17.575905267,17.575905267,0,0,17.575905267,0,17.575905267,0,17.575905267,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0155618853632,0,0.0155618853632,0,0,0.0155618853632,0,0,0.0155618853632,0,0,0,0,0,0,0,0.0155618853632,0,0.0155618853632,0.0155618853632,0.0155618853632,0,0,0,0,0.0155618853632,0,0,0,0,0.0155618853632,0,0.0155618853632,0,0.0155618853632,0
