"Achnanthes","Ancylus fluviatilis","Baetis","Baetis muticus","Baetis rhodani","Baetis scambus","Baetis vernus","Brachysira","Calopteryx splendens","Chironomidae","Chloroperla tripunctata","CPOM","Diatoma hyemale quadratum","Diplectrona felix","Electrogena lateralis","Elmis aenea","Empididae","Eunotia","Eunotia exigua","Eunotia incisa","Eunotia rhomboidea","FPOM","Fragilaria","Frustulia rhomboides saxonica","Gammarus pulex","Gomphonema","Gyrinidae","Hydropsyche siltalai","Isoperla grammatica","Leuctra inermis","Limnius volckmari","Oligochaeta","Oulimnius","Perla bipunctata","Peronia fibula","Philopotamus montanus","Pinnularia subcapitata","Protonemura meyeri","Salmo trutta","Silo pallipes","Siphonoperla torrentium","Tabellaria flocculosa","Tanypodinae","Tipulidae"
0,0,0,0,0,0,0,0,0,0,0.011717374544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011717374544,0,0.011717374544,0,0.011717374544,0
0,25.0492255210855,1.163950015579,1.163950015579,1.163950015579,1.163950015579,1.163950015579,0,0,5.580540346469,0,0,0,35.846421728272,35.846421728272,35.846421728272,35.846421728272,0,0,0,0,0,0,0,30.656292313342,0,25.628429859877,35.846421728272,1,35.846421728272,35.846421728272,29.6059463679085,35.846421728272,1,0,35.846421728272,0,35.846421728272,0,35.846421728272,0,0,0,1.4035127891075
0,1.33938965325,1.33938965325,1.33938965325,1.33938965325,1.33938965325,1.33938965325,0,0,1.33938965325,0,0,0,1.33938965325,1.33938965325,1.33938965325,1.33938965325,0,0,0,0,0,0,0,1.33938965325,0,1.33938965325,1.33938965325,0,1.33938965325,1.33938965325,0,1.33938965325,0,0,1.33938965325,0,1.33938965325,0,1.33938965325,0,0,0,1.33938965325
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0076221334608,0,0,0,0,0.0076221334608,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0785238577344,0,0,0,0,0.0785238577344,0,0,0,0,0.0785238577344,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000582075984,0,0.000582075984,0,0.000582075984,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005645827584,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.069238439366,0,0,0,1.069238439366,1.069238439366,1.069238439366,1.069238439366,0,0,0,0,0,0,0,1.069238439366,0,1.069238439366,1.069238439366,0,1.069238439366,1.069238439366,1.069238439366,1.069238439366,0,0,1.069238439366,0,1.069238439366,0,1.069238439366,0,0,0,0
0,0,0,0,0,0,0,0,0,0.417274194785,0,0,0,0.417274194785,0.417274194785,0.417274194785,0.417274194785,0,0,0,0,0,0,0,0.417274194785,0,0.417274194785,0.417274194785,0,0.417274194785,0.417274194785,0.417274194785,0.417274194785,0,0,0.417274194785,0,0.417274194785,0,0.417274194785,0,0,0,0
0,0,0,0,0,0,0,0,0,6.103741269,0,0,0,6.103741269,6.103741269,6.103741269,6.103741269,0,0,0,0,0,0,0,6.103741269,0,6.103741269,6.103741269,0,6.103741269,6.103741269,6.103741269,6.103741269,0,0,6.103741269,0,6.103741269,0,6.103741269,0,0,0,0
0,0,0,0,0,0,0,0,0,0.763801211572,0,0,0,0.763801211572,0.763801211572,0.763801211572,0.763801211572,0,0,0,0,0,0,0,0.763801211572,0,0.763801211572,0.763801211572,0,0.763801211572,0.763801211572,0.763801211572,0.763801211572,0,0,0.763801211572,0,0.763801211572,0,0.763801211572,0,0,0,0
0,25.0492255210855,1.163950015579,1.163950015579,1.163950015579,1.163950015579,1.163950015579,0,0,5.580540346469,0,0,0,35.846421728272,35.846421728272,35.846421728272,35.846421728272,0,0,0,0,0,0,0,30.656292313342,0,25.628429859877,35.846421728272,0,35.846421728272,35.846421728272,29.6059463679085,35.846421728272,0,0,35.846421728272,0,35.846421728272,0,35.846421728272,0,0,0,1.4035127891075
0,0.761302237617,0.761302237617,0.761302237617,0.761302237617,0.761302237617,0.761302237617,0,0,0.761302237617,0,0,0,0.761302237617,0.761302237617,0.761302237617,0.761302237617,0,0,0,0,0,0,0,0.761302237617,0,0.761302237617,0.761302237617,0,0.761302237617,0.761302237617,0,0.761302237617,0,0,0.761302237617,0,0.761302237617,0,0.761302237617,0,0,0,0.761302237617
0,3.378849359756,0,0,0,0,0,0,0,0,0,0,0,3.378849359756,3.378849359756,3.378849359756,3.378849359756,0,0,0,0,0,0,0,3.378849359756,0,3.378849359756,3.378849359756,0,3.378849359756,3.378849359756,3.378849359756,3.378849359756,0,0,3.378849359756,0,3.378849359756,0,3.378849359756,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0591499264752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0591499264752,0.0591499264752,0,0,0,0,0.0591499264752,0,0,0,0,0.0591499264752,0,0,0,0.0591499264752,0
0,0.227208140291,0.227208140291,0.227208140291,0.227208140291,0.227208140291,0.227208140291,0,0,0.227208140291,0,0,0,0.227208140291,0.227208140291,0.227208140291,0.227208140291,0,0,0,0,0,0,0,0.227208140291,0,0.227208140291,0.227208140291,0,0.227208140291,0.227208140291,0.227208140291,0.227208140291,0,0,0.227208140291,0,0.227208140291,0,0.227208140291,0,0,0,0.227208140291
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012910659488,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350889656832,0,0,0,0,0.0350889656832,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00541186452,0,0,0,0,0.00541186452,0,0,0,0,0.00541186452,0,0.00541186452,0,0,0
0,0,0,0,0,0,0,0,0.023983937432,0,0.023983937432,0,0,0.023983937432,0,0,0,0,0,0,0,0,0,0,0.023983937432,0,0,0.023983937432,0.023983937432,0,0,0,0,0.023983937432,0,0,0,0,0.023983937432,0,0.023983937432,0,0.023983937432,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005384427568,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005384427568,0,0,0,0,0,0,0,0,0,0,0.0005384427568,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.001570653856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001570653856,0,0,0,0,0,0,0,0,0,0,0,0.001570653856,0,0.001570653856,0,0.001570653856,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002084243184,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347712,0,0,0,0,0.0347712,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2.86007846979,2.86007846979,2.86007846979,2.86007846979,0,0,0,0,0,0,0,2.86007846979,0,0,2.86007846979,0,2.86007846979,2.86007846979,2.86007846979,2.86007846979,0,0,2.86007846979,0,2.86007846979,0,2.86007846979,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,26.3366708372,0,0,0,0,0,0,0,0,0,0,0,26.3366708372,26.3366708372,26.3366708372,26.3366708372,0,0,0,0,0,0,0,26.3366708372,0,26.3366708372,26.3366708372,0,26.3366708372,26.3366708372,26.3366708372,26.3366708372,0,0,26.3366708372,0,26.3366708372,0,26.3366708372,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003372628432,0,0,0,0,0,0,0,0,0,0.0003372628432,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32200000001,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003174640528,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018802011792,0,0,0,0,0,0,0,0,0,0,0,0.018802011792,0,0.018802011792,0
0,0,0,0,0,0,0,0,0,0,0,0,0,10.38025882986,10.38025882986,10.38025882986,10.38025882986,0,0,0,0,0,0,0,0,0,10.38025882986,10.38025882986,0,10.38025882986,10.38025882986,0,10.38025882986,0,0,10.38025882986,0,10.38025882986,0,10.38025882986,0,0,0,0
0,0,0,0,0,0,0,0,0.010205866944,0,0.010205866944,0,0,0.010205866944,0,0,0.010205866944,0,0,0,0,0,0,0,0.010205866944,0,0.010205866944,0.010205866944,0.010205866944,0,0,0,0,0.010205866944,0,0,0,0,0.010205866944,0,0.010205866944,0,0.010205866944,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007884798576,0,0,0,0.0007884798576,0
