"Achnanthes minutissima","Achnanthes modestiformis","Achnanthes oblongella","Baetis vernus","Ceratopogonidae","Chironomidae","CPOM","Empididae","Eunotia exigua","Eunotia meisteri","Eunotia minutissima","Eunotia pectinalis","Eunotia rhomboidea","Eunotia tenella","FPOM","Fragilaria vaucheriae","Frustulia rhomboides saxonica","Frustulia rhomboides viridula","Gomphonema angustatum","Gomphonema parvulum","Leuctra inermis","Pinnularia appendiculata","Pinnularia subcapitata","Plectrocnemia conspersa","Salmo trutta","Simuliidae","Siphonoperla torrentium","Synedra minuscula"
0,0,0,0,0.0321616976098,0.0321616976098,0,0.0321616976098,0,0,0,0,0,0,0,0,0,0,0,0,0.0321616976098,0,0,0,0,0.0321616976098,0,0
0,0,0,0,0.01249015071064,0.01249015071064,0,0.01249015071064,0,0,0,0,0,0,0,0,0,0,0,0,0.01249015071064,0,0,0,0,0.01249015071064,0,0
0,0,0,0,0.029002653873,0.029002653873,0,0.029002653873,0,0,0,0,0,0,0,0,0,0,0,0,0.029002653873,0,0,0,0,0.029002653873,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037723732032,0.0037723732032,0,0.0037723732032,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.39332048e-05,0,0,0
0,0,0,0,0,0,0,0.0372115881984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372115881984,0.0372115881984,0,0.0372115881984,0
0,0,0,0.118186139323613,1.75652420164682,0.263679609834788,0,1.75652420164682,0,0,0,0,0,0,0,0,0,0,0,0,1.75652420164682,0,0,1,0,1.64785798223237,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004187723456,0,0,0
0,0,0,0,0.114946666497,0.114946666497,0,0.114946666497,0,0,0,0,0,0,0,0,0,0,0,0,0.114946666497,0,0,0,0,0,0,0
0,0,0,0,0.02357492146929,0.02357492146929,0,0.02357492146929,0,0,0,0,0,0,0,0,0,0,0,0,0.02357492146929,0,0,0,0,0,0,0
0,0,0,0,0.01318263092175,0.01318263092175,0,0.01318263092175,0,0,0,0,0,0,0,0,0,0,0,0,0.01318263092175,0,0,0,0,0,0,0
0,0,0,0,0.0391652265664,0.0391652265664,0,0.0391652265664,0,0,0,0,0,0,0,0,0,0,0,0,0.0391652265664,0,0,0,0,0,0,0
0,0,0,0,0.01695252166289,0.01695252166289,0,0.01695252166289,0,0,0,0,0,0,0,0,0,0,0,0,0.01695252166289,0,0,0,0,0,0,0
0,0,0,0,0.00951047171158,0.00951047171158,0,0.00951047171158,0,0,0,0,0,0,0,0,0,0,0,0,0.00951047171158,0,0,0,0,0,0,0
0,0,0,0.118186139323613,1.75652420164682,0.263679609834788,0,1.75652420164682,0,0,0,0,0,0,0,0,0,0,0,0,1.75652420164682,0,0,0,0,1.64785798223237,0,0
0,0,0,0.0346344178734,0.0346344178734,0.0346344178734,0,0.0346344178734,0,0,0,0,0,0,0,0,0,0,0,0,0.0346344178734,0,0,0,0,0.0346344178734,0,0
0,0,0,0,0.009495351695268,0,0,0.009495351695268,0,0,0,0,0,0,0,0,0,0,0,0,0.009495351695268,0,0,0,0,0.009495351695268,0,0
0,0,0,0,0.0796360060968,0,0,0.0796360060968,0,0,0,0,0,0,0,0,0,0,0,0,0.0796360060968,0,0,0,0,0.0796360060968,0,0
0,0,0,0.1065565036245,0.1065565036245,0.1065565036245,0,0.1065565036245,0,0,0,0,0,0,0,0,0,0,0,0,0.1065565036245,0,0,0,0,0.1065565036245,0,0
0,0,0,0.001914795885727,0.001914795885727,0.001914795885727,0,0.001914795885727,0,0,0,0,0,0,0,0,0,0,0,0,0.001914795885727,0,0,0,0,0.001914795885727,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009702077936,0.0009702077936,0,0.0009702077936,0
0,0,0,0,0.671395204032,0,0,0.671395204032,0,0,0,0,0,0,0,0,0,0,0,0,0.671395204032,0,0,0,0,0.671395204032,0,0
0,0,0,0,2.2251626218,0,0,2.2251626218,0,0,0,0,0,0,0,0,0,0,0,0,2.2251626218,0,0,0,0,2.2251626218,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0079131975328,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0095841741024,0.0095841741024,0,0.0095841741024,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035781177792,0,0,0.0035781177792,0
0,0,0,0.0932665612636,0.0932665612636,0.0932665612636,0,0.0932665612636,0,0,0,0,0,0,0,0,0,0,0,0,0.0932665612636,0,0,0,0,0.0932665612636,0,0
