"Achnanthes lanceolata","Achnanthes levanderi","Achnanthes minutissima","Amphinemura sulcicollis","Baetis rhodani","Brachysira vitrea","Caenis rivulorum","Chironomidae","CPOM","Elmis aenea","Eunotia curvata","Eunotia exigua","Eunotia incisa","Eunotia pectinalis","FPOM","Fragilaria construens","Frustulia rhomboides","Gammarus pulex","Isoperla grammatica","Leuctra inermis","Leuctra nigra","Limnius volckmari","Meridion circulare constrictum","Navicula minima","Nitzschia recta","Oligochaeta","Pinnularia microstauron","Plectrocnemia conspersa","Plectrocnemia geniculata","Simuliidae","Siphonoperla torrentium","Surirella linearis","Tabellaria flocculosa","Tanypodinae","Tipulidae"
0,0,0,0.00130303544,0,0,0.00130303544,0.00130303544,0,0.00130303544,0,0,0,0,0,0,0,0.00130303544,0,0.00130303544,0.00130303544,0.00130303544,0,0,0,0.00130303544,0,0,0,0.00130303544,0,0,0,0,0.00130303544
0,0,0,3.240477866464e-05,0,0,3.240477866464e-05,3.240477866464e-05,0,3.240477866464e-05,0,0,0,0,0,0,0,3.240477866464e-05,0,3.240477866464e-05,3.240477866464e-05,3.240477866464e-05,0,0,0,3.240477866464e-05,0,0,0,3.240477866464e-05,0,0,0,0,3.240477866464e-05
0,0,0,0.001077505706592,0,0,0.001077505706592,0.001077505706592,0,0.001077505706592,0,0,0,0,0,0,0,0.001077505706592,0,0.001077505706592,0.001077505706592,0.001077505706592,0,0,0,0.001077505706592,0,0,0,0.001077505706592,0,0,0,0,0.001077505706592
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000355321816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.687491e-05,9.687491e-05,0,0,0,0,0,0,0,0,9.687491e-05,9.687491e-05,0,9.687491e-05,0,0,9.687491e-05,0
0,0,0,0.001426167466568,0,0,0.001426167466568,0,0,0.001426167466568,0,0,0,0,0,0,0,0.001426167466568,0,0.001426167466568,0.001426167466568,0.001426167466568,0,0,0,0.001426167466568,0,0,0,0.001426167466568,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.659414e-06,5.659414e-06,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000214667118,0.000214667118,0,0,0,0,0,0,0,0,0.000214667118,0.000214667118,0,0.000214667118,0,0,0.000214667118,0
0,0,0,0.0372473066420998,0.000257456199962435,0,0.0372473066420998,0.0261770946931958,0,0.0372473066420998,0,0,0,0,0,0,0,0.0301338233069998,1,0.0372473066420998,0.0372473066420998,0.0372473066420998,0,0,0,0.0283394865736653,0,1,1,0.00829060957639475,0,0,0,0,0.00433388096259076
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8122969e-05,0,0,8.8122969e-05,0
0,0,0,0.00831994239846,0,0,0.00831994239846,0.00831994239846,0,0.00831994239846,0,0,0,0,0,0,0,0.00831994239846,0,0.00831994239846,0.00831994239846,0.00831994239846,0,0,0,0.00831994239846,0,0,0,0,0,0,0,0,0
0,0,0,0.00336914666655,0,0,0.00336914666655,0.00336914666655,0,0.00336914666655,0,0,0,0,0,0,0,0.00336914666655,0,0.00336914666655,0.00336914666655,0.00336914666655,0,0,0,0.00336914666655,0,0,0,0,0,0,0,0,0
0,0,0,0.0241078231962,0,0,0.0241078231962,0.0241078231962,0,0.0241078231962,0,0,0,0,0,0,0,0.0241078231962,0,0.0241078231962,0.0241078231962,0.0241078231962,0,0,0,0.0241078231962,0,0,0,0,0,0,0,0,0
0,0,0,0.0078895152,0,0,0.0078895152,0.0078895152,0,0.0078895152,0,0,0,0,0,0,0,0.0078895152,0,0.0078895152,0.0078895152,0.0078895152,0,0,0,0.0078895152,0,0,0,0,0,0,0,0,0
0,0,0,0.0372473066420998,0.000257456199962435,0,0.0372473066420998,0.0261770946931958,0,0.0372473066420998,0,0,0,0,0,0,0,0.0301338233069998,0,0.0372473066420998,0.0372473066420998,0.0372473066420998,0,0,0,0.0283394865736653,0,0,0,0.00829060957639475,0,0,0,0,0.00433388096259076
0,0,0,3.503546666895e-05,3.503546666895e-05,0,3.503546666895e-05,3.503546666895e-05,0,3.503546666895e-05,0,0,0,0,0,0,0,3.503546666895e-05,0,3.503546666895e-05,3.503546666895e-05,3.503546666895e-05,0,0,0,0,0,0,0,3.503546666895e-05,0,0,0,0,3.503546666895e-05
0,0,0,0.00010418576,0,0,0.00010418576,0,0,0.00010418576,0,0,0,0,0,0,0,0.00010418576,0,0.00010418576,0.00010418576,0.00010418576,0,0,0,0.00010418576,0,0,0,0.00010418576,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000789990496,0,0,0,0,0,0,0,0,0.000789990496,0.000789990496,0,0,0,0,0.000789990496,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000673476288,0,0,0,0,0,0,0,0,0,0,0,0.000673476288,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001754479419,0.001754479419,0,0,0,0,0,0,0,0,0.001754479419,0.001754479419,0,0.001754479419,0,0,0.001754479419,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011499548,0.0011499548,0,0,0,0,0,0,0,0,0.0011499548,0.0011499548,0,0.0011499548,0,0,0.0011499548,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.003553638,0,0,0.003553638,0.003553638,0,0.003553638,0,0,0,0,0,0,0,0.003553638,0,0.003553638,0.003553638,0.003553638,0,0,0,0,0,0,0,0.003553638,0,0,0,0,0.003553638
0,0,0,0.000462349679922,0.000462349679922,0,0.000462349679922,0.000462349679922,0,0.000462349679922,0,0,0,0,0,0,0,0.000462349679922,0,0.000462349679922,0.000462349679922,0.000462349679922,0,0,0,0.000462349679922,0,0,0,0.000462349679922,0,0,0,0,0.000462349679922
0,0,0,1.752725333392e-05,1.752725333392e-05,0,1.752725333392e-05,1.752725333392e-05,0,1.752725333392e-05,0,0,0,0,0,0,0,1.752725333392e-05,0,1.752725333392e-05,1.752725333392e-05,1.752725333392e-05,0,0,0,1.752725333392e-05,0,0,0,1.752725333392e-05,0,0,0,0,1.752725333392e-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000170375496,0.000170375496,0,0.000170375496,0,0,0.000170375496,0
0,0,0,0.00638310400104,0,0,0.00638310400104,0,0,0.00638310400104,0,0,0,0,0,0,0,0.00638310400104,0,0.00638310400104,0.00638310400104,0.00638310400104,0,0,0,0.00638310400104,0,0,0,0.00638310400104,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002696741602,0.002696741602,0,0,0,0,0.002696741602,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8165196e-05,3.8165196e-05,0,0,0,0,3.8165196e-05,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001706000495,0.001706000495,0,0,0,0,0,0,0,0,0.001706000495,0.001706000495,0,0.001706000495,0,0,0.001706000495,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00637607964,0,0,0,0,0,0,0,0,0.00637607964,0.00637607964,0,0.00637607964,0,0,0.00637607964,0
