"Achnanthes minutissima","Achnanthes modestiformis","Achnanthes oblongella","Amphinemura sulcicollis","Baetis rhodani","Brachyptera risi","Chironomidae","Chloroperla tripunctata","CPOM","Diatoma hyemale","Dicranota","Ecdyonurus dispar","Elmis aenea","Empididae","Eunotia","Eunotia incisa","Eunotia vanheurckii","FPOM","Fragilaria vaucheriae","Gomphonema angustatum","Hannaea arcus","Hydracarina","Isoperla grammatica","Leuctra hippopus","Leuctra inermis","Limnius volckmari","Oreodytes sanmarkii","Plectrocnemia geniculata","Protonemura meyeri","Rhithrogena semicolorata","Rhyacophila fasciata","Salmo trutta","Simuliidae","Siphonoperla torrentium","Synedra minuscula","Tabellaria flocculosa","Tipulidae"
0,0,0,2.790244232101,0,2.790244232101,2.790244232101,0,0,0,2.790244232101,2.790244232101,2.790244232101,2.790244232101,0,0,0,0,0,0,0,0,0,2.790244232101,2.790244232101,2.790244232101,0,0,2.790244232101,2.790244232101,0,0,2.790244232101,0,0,0,2.790244232101
0,0,0,0.2042388176058,0,0.2042388176058,0.2042388176058,0,0,0,0.2042388176058,0.2042388176058,0.2042388176058,0.2042388176058,0,0,0,0,0,0,0,0,0,0.2042388176058,0.2042388176058,0.2042388176058,0,0,0.2042388176058,0.2042388176058,0,0,0.2042388176058,0,0,0,0.2042388176058
0,0,0,0.282603851065,0,0.282603851065,0.282603851065,0,0,0,0.282603851065,0.282603851065,0.282603851065,0.282603851065,0,0,0,0,0,0,0,0,0,0.282603851065,0.282603851065,0.282603851065,0,0,0.282603851065,0.282603851065,0,0,0.282603851065,0,0,0,0.282603851065
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0061714359824,0,0,0,0,0,0,0,0,0.0061714359824,0,0,0,0,0
0,0,0,0,0,0,0,0.2677784997888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2677784997888,0,0,0,0,0.2677784997888,0,0,0.2677784997888,0.2677784997888,0,0.2677784997888,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050142018384,0,0,0,0,0
0,0,0,0,0,0,0,0.010182283008,0,0,0.010182283008,0,0,0.010182283008,0,0,0,0,0,0,0,0.010182283008,0.010182283008,0,0,0,0.010182283008,0.010182283008,0,0,0.010182283008,0.010182283008,0,0.010182283008,0,0,0
0,0,0,0,0,0,0,0.0076986798672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0076986798672,0,0,0,0.0076986798672,0,0.0076986798672,0,0,0
0,0,0,88.3505978186469,73.806689910969,88.3505978186469,82.8686130521719,0,0,0,80.9078037766449,88.3505978186469,88.3505978186469,88.3505978186469,0,0,0,0,0,0,0,0,1,88.3505978186469,88.3505978186469,88.3505978186469,0,1,88.3505978186469,88.3505978186469,1,0,80.9078037766449,0,0,0,80.9078037766449
0,0,0,2.95563340544,0,2.95563340544,2.95563340544,0,0,0,2.95563340544,2.95563340544,2.95563340544,2.95563340544,0,0,0,0,0,0,0,0,0,2.95563340544,2.95563340544,2.95563340544,0,0,2.95563340544,2.95563340544,0,0,2.95563340544,0,0,0,2.95563340544
0,0,0,0,0,0,0,0,0,0,0.0025740219904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025740219904,0,0,0,0.0025740219904,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002084491752,0,0,0,0,0.002084491752,0,0,0.002084491752,0.002084491752,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044237266304,0.0044237266304,0,0.0044237266304,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.89759904e-05,0,0,0,0,0
0,0,0,0.140844797088,0,0.140844797088,0.140844797088,0,0,0,0,0.140844797088,0.140844797088,0.140844797088,0,0,0,0,0,0,0,0,0,0.140844797088,0.140844797088,0.140844797088,0,0,0.140844797088,0.140844797088,0,0,0,0,0,0,0
0,0,0,1.66549409851,0,1.66549409851,1.66549409851,0,0,0,0,1.66549409851,1.66549409851,1.66549409851,0,0,0,0,0,0,0,0,0,1.66549409851,1.66549409851,1.66549409851,0,0,1.66549409851,1.66549409851,0,0,0,0,0,0,0
0,0,0,2.115279655456,0,2.115279655456,2.115279655456,0,0,0,0,2.115279655456,2.115279655456,2.115279655456,0,0,0,0,0,0,0,0,0,2.115279655456,2.115279655456,2.115279655456,0,0,2.115279655456,2.115279655456,0,0,0,0,0,0,0
0,0,0,88.3505978186469,73.806689910969,88.3505978186469,82.8686130521719,0,0,0,80.9078037766449,88.3505978186469,88.3505978186469,88.3505978186469,0,0,0,0,0,0,0,0,0,88.3505978186469,88.3505978186469,88.3505978186469,1,0,88.3505978186469,88.3505978186469,1,0,80.9078037766449,0,0,0,80.9078037766449
0,0,0,9.278884109457,9.278884109457,9.278884109457,9.278884109457,0,0,0,9.278884109457,9.278884109457,9.278884109457,9.278884109457,0,0,0,0,0,0,0,0,0,9.278884109457,9.278884109457,9.278884109457,0,0,9.278884109457,9.278884109457,0,0,9.278884109457,0,0,0,9.278884109457
