"Achnanthes","Amphora","Bacteria","Caloneis","Chaetocladius sp.","Cocconeis","CPOM","Cymbella","Diatoma","Epithemia","Eukiefferiella claripennis","Filamentous algae","FPOM","Fragilaria","Fungi","Gomphonema","Green algae","Hemiptera indet.","Limnophora riparia","Macropelopia sp.","Melosira","Meridion","Metriocnemus sp. B","Micropsectra atrofasciata","Navicula","Nitzschia","Oligochaeta indet.","Paracladopelma sp.","Pinnularia","Radix balthica","Rhoicosphenia","Rhopalodia","Salmo trutta","Simulium aureum","Simulium vittatum","Sperchon glandulosus","Terrestrial"
0,0,0,0,0.0407487468987195,0,0,0,0,0,0.0407487468987195,0,0,0,0,0,0,0,0,0.0407487468987195,0,0,0.0407487468987195,0.0407487468987195,0,0,0.0407487468987195,0.0407487468987195,0,0.0407487468987195,0,0,0,0.0407487468987195,0.0407487468987195,0.0407487468987195,0
0,0,0,0,0.00223779872369662,0,0,0,0,0,0.00223779872369662,0,0,0,0,0,0,0,0,0,0,0,0.00223779872369662,0.00223779872369662,0,0,0.00223779872369662,0.00223779872369662,0,0.00223779872369662,0,0,0,0.00223779872369662,0.00223779872369662,0,0
0,0,0,0,0.0894579135412436,0,0,0,0,0,0.0894579135412436,0,0,0,0,0,0,0,0.0074853989238,0.0840436797610156,0,0,0.0894579135412436,0.0874704956144852,0,0,0.0894579135412436,0.0894579135412436,0,0.0874704956144852,0,0,0,0.0894579135412436,0.0894579135412436,0.0576512950838539,0
0,0,0,0,0.003312363211264,0,0,0,0,0,0.003312363211264,0,0,0,0,0,0,0,0,0,0,0,0.003312363211264,0,0,0,0.003312363211264,0.003312363211264,0,0,0,0,0,0.003312363211264,0.003312363211264,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00696340736,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00696340736,0.00696340736,0.00696340736,0,0
0,0,0,0,0.05375424701787,0,0,0,0,0,0.05375424701787,0,0,0,0,0,0,0,0,0.05375424701787,0,0,0.05375424701787,0.05375424701787,0,0,0.05375424701787,0.05375424701787,0,0.05375424701787,0,0,0,0.05375424701787,0.05375424701787,0.05375424701787,0
0,0,0,0,0.0894579135412436,0,0,0,0,0,0.0894579135412436,0,0,0,0,0,0,0,0.0074853989238,0.0840436797610156,0,0,0.0894579135412436,0.0874704956144852,0,0,0.0894579135412436,0.0894579135412436,0,0.0874704956144852,0,0,0,0.0894579135412436,0.0894579135412436,0.0576512950838539,0
0,0,0,0,5.95536263604e-05,0,0,0,0,0,5.95536263604e-05,0,0,0,0,0,0,0,0,5.95536263604e-05,0,0,5.95536263604e-05,5.95536263604e-05,0,0,5.95536263604e-05,5.95536263604e-05,0,5.95536263604e-05,0,0,0,5.95536263604e-05,5.95536263604e-05,0,0
0,0,0,0,0.012475664873,0,0,0,0,0,0.012475664873,0,0,0,0,0,0,0,0.012475664873,0.012475664873,0,0,0.012475664873,0.012475664873,0,0,0.012475664873,0.012475664873,0,0.012475664873,0,0,0,0.012475664873,0.012475664873,0,0
0,0,0,0,0.0062814080821225,0,0,0,0,0,0.0062814080821225,0,0,0,0,0,0,0,0,0.0062814080821225,0,0,0.0062814080821225,0.0062814080821225,0,0,0.0062814080821225,0.0062814080821225,0,0.0062814080821225,0,0,0,0.0062814080821225,0.0062814080821225,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128919269184,0.128919269184,0,0,0,0,0,0,0,0,0,0,0,0,0.128919269184,0.128919269184,0.128919269184,0,0
0,0,0,0,0.149096522568739,0,0,0,0,0,0.149096522568739,0,0,0,0,0,0,0,0.012475664873,0.140072799601693,0,0,0.149096522568739,0.145784159357475,0,0,0.149096522568739,0.149096522568739,0,0.145784159357475,0,0,0,0.149096522568739,0.149096522568739,0.0960854918064231,0
0,0,0,0,0.0894579135412436,0,0,0,0,0,0.0894579135412436,0,0,0,0,0,0,0,0.0074853989238,0.0840436797610156,0,0,0.0894579135412436,0.0874704956144852,0,0,0.0894579135412436,0.0894579135412436,0,0.0874704956144852,0,0,0,0.0894579135412436,0.0894579135412436,0.0576512950838539,0
0,0,0,0,0.00315387631314026,0,0,0,0,0,0.00315387631314026,0,0,0,0,0,0,0,0,0,0,0,0.00315387631314026,0.00315387631314026,0,0,0.00315387631314026,0.00315387631314026,0,0.00315387631314026,0,0,0,0.00315387631314026,0.00315387631314026,0,0
0,0,0,0,0.0894579135412436,0,0,0,0,0,0.0894579135412436,0,0,0,0,0,0,0,0.0074853989238,0.0840436797610156,0,0,0.0894579135412436,0.0874704956144852,0,0,0.0894579135412436,0.0894579135412436,0,0.0874704956144852,0,0,0,0.0894579135412436,0.0894579135412436,0.0576512950838539,0
0,0,0,0,0.000747848782230974,0,0,0,0,0,0.000747848782230974,0,0,0,0,0,0,0,0,0.000747848782230974,0,0,0.000747848782230974,0.000747848782230974,0,0,0.000747848782230974,0.000747848782230974,0,0.000747848782230974,0,0,0,0.000747848782230974,0.000747848782230974,0,0
0,0,0,0,0.149096522568739,0,0,0,0,0,0.149096522568739,0,0,0,0,0,0,0,0.012475664873,0.140072799601693,0,0,0.149096522568739,0.145784159357475,0,0,0.149096522568739,0.149096522568739,0,0.145784159357475,0,0,0,0.149096522568739,0.149096522568739,0.0960854918064231,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016908888336,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157975220832,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157975220832,0,0,0,0
0,0,0,0,0.003423981543328,0,0,0,0,0,0.003423981543328,0,0,0,0,0,0,0,0,0.003423981543328,0,0,0.003423981543328,0.003423981543328,0,0,0.003423981543328,0.003423981543328,0,0.003423981543328,0,0,0,0.003423981543328,0.003423981543328,0,0
0,0,0,0,0.0015824978898336,0,0,0,0,0,0.0015824978898336,0,0,0,0,0,0,0,0,0.0015824978898336,0,0,0.0015824978898336,0.0015824978898336,0,0,0.0015824978898336,0.0015824978898336,0,0.0015824978898336,0,0,0,0.0015824978898336,0.0015824978898336,0.0015824978898336,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000314693024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50565801024,0.50565801024,0,0,0,0,0,0,0,0,0,0,0,0,0.50565801024,0.50565801024,0.50565801024,0,0
0,0,0,0,0.0110585206074133,0,0,0,0,0,0.0110585206074133,0,0,0,0,0,0,0,0,0.0110585206074133,0,0,0.0110585206074133,0.0110585206074133,0,0,0.0110585206074133,0.0110585206074133,0,0.0110585206074133,0,0,0,0.0110585206074133,0.0110585206074133,0,0
0,0,0,0,0.000319684718945664,0,0,0,0,0,0.000319684718945664,0,0,0,0,0,0,0,0,0,0,0,0.000319684718945664,0.000319684718945664,0,0,0.000319684718945664,0.000319684718945664,0,0.000319684718945664,0,0,0,0.000319684718945664,0.000319684718945664,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.691924208704,0,0,0,0,0,0,0,0,0,0,0,0,0,1.691924208704,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01371875928,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01371875928,0,0,0,0
0,0,0,0,0.0030983681313056,0,0,0,0,0,0.0030983681313056,0,0,0,0,0,0,0,0,0.0030983681313056,0,0,0.0030983681313056,0.0030983681313056,0,0,0.0030983681313056,0.0030983681313056,0,0.0030983681313056,0,0,0,0.0030983681313056,0.0030983681313056,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.055362914848,0,0,0,0
0,0,0,0,0.0007420704861488,0,0,0,0,0,0.0007420704861488,0,0,0,0,0,0,0,0,0.0007420704861488,0,0,0.0007420704861488,0.0007420704861488,0,0,0.0007420704861488,0.0007420704861488,0,0.0007420704861488,0,0,0,0.0007420704861488,0.0007420704861488,0,0
0,0,0,0,0.00609989166336,0,0,0,0,0,0.00609989166336,0,0,0,0,0,0,0,0,0.00609989166336,0,0,0.00609989166336,0.00609989166336,0,0,0.00609989166336,0.00609989166336,0,0.00609989166336,0,0,0,0.00609989166336,0.00609989166336,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.093476768,0,0,0,0,0,0,0,0,0,0,0,0,0,1.093476768,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15263544648,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15263544648,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072049666416,0,0,0,0
0,0,0,0,0.0894579135412436,0,0,0,0,0,0.0894579135412436,0,0,0,0,0,0,1,0.0074853989238,0.0840436797610156,0,0,0.0894579135412436,0.0874704956144852,0,0,0.0894579135412436,0.0894579135412436,0,0.0874704956144852,0,0,1,0.0894579135412436,0.0894579135412436,0.0576512950838539,0
