"Achnanthes","Amphora","Aulacoseira","Bacteria","Chaetocladius sp.","Cocconeis","CPOM","Cymbella","Diatoma","Diploneis","Epithemia","Eukiefferiella minor","Filamentous algae","FPOM","Fragilaria","Fungi","Gomphonema","Green algae","Limnophora riparia","Limoniinae indet.","Macrophytes","Melosira","Meridion","Micropsectra atrofasciata","Navicula","Nitzschia","Oligochaeta indet.","Pinnularia","Procladius islandicus","Radix balthica","Rhoicosphenia","Rhopalodia","Salmo trutta","Simulium aureum","Simulium vittatum","Sperchon glandulosus","Synedra","Terrestrial","Thienemanniella sp."
0,0,0,0,0.00348953903792,0,0,0,0,0,0,0.00348953903792,0,0,0,0,0,0,0,0.00348953903792,0,0,0,0.00348953903792,0,0,0.00348953903792,0,0.00348953903792,0.00348953903792,0,0,0,0.00348953903792,0.00348953903792,0.00348953903792,0,0,0.00348953903792
0,0,0,0,0.0004702173843344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004702173843344,0,0,0,0.0004702173843344,0,0,0.0004702173843344,0,0.0004702173843344,0.0004702173843344,0,0,0,0.0004702173843344,0.0004702173843344,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01261403261184,0,0,0,0.01261403261184,0,0,0.01261403261184,0,0.01261403261184,0.01261403261184,0,0,0,0.01261403261184,0.01261403261184,0,0,0,0
0,0,0,0,0.364634788587847,0,0,0,0,0,0,0.352314249614585,0,0,0,0,0,0,0.0464383791979328,0.374726014677319,0,0,0,0.372902304797056,0,0,0.374726014677319,0,0.374726014677319,0.374726014677319,0,0,0,0.374726014677319,0.374726014677319,0.0963107180396064,0,0,0.352314249614585
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022254033472,0.022254033472,0,0,0,0,0,0,0,0,0.022254033472,0,0,0,0.022254033472,0.022254033472,0.022254033472,0,0,0,0
0,0,0,0,0.11645871256188,0,0,0,0,0,0,0.11645871256188,0,0,0,0,0,0,0,0.11645871256188,0,0,0,0.11645871256188,0,0,0.11645871256188,0,0.11645871256188,0.11645871256188,0,0,0,0.11645871256188,0.11645871256188,0.11645871256188,0,0,0.11645871256188
0,0,0,0,0.364634788587847,0,0,0,0,0,0,0.352314249614585,0,0,0,0,0,0,0.0464383791979328,0.374726014677319,0,0,0,0.372902304797056,0,0,0.374726014677319,0,0.374726014677319,0.374726014677319,0,0,0,0.374726014677319,0.374726014677319,0.0963107180396064,0,0,0.352314249614585
0,0,0,0,0.002191031185442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002191031185442,0,0,0,0.002191031185442,0,0,0.002191031185442,0,0.002191031185442,0.002191031185442,0,0,0,0.002191031185442,0.002191031185442,0,0,0,0
0,0,0,0,0.000996325476136,0,0,0,0,0,0,0.000996325476136,0,0,0,0,0,0,0.000996325476136,0.000996325476136,0,0,0,0.000996325476136,0,0,0.000996325476136,0,0.000996325476136,0.000996325476136,0,0,0,0.000996325476136,0.000996325476136,0,0,0,0.000996325476136
0,0,0,0,0.0022796373503288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022796373503288,0,0,0,0,0,0,0.0022796373503288,0,0.0022796373503288,0.0022796373503288,0,0,0,0.0022796373503288,0.0022796373503288,0,0,0,0
0,0,0,0,0.18658978134972,0,0,0,0,0,0,0.18658978134972,0,0,0,0,0,0,0,0.18658978134972,0,0,0,0.18658978134972,0,0,0.18658978134972,0,0.18658978134972,0.18658978134972,0,0,0,0.18658978134972,0.18658978134972,0,0,0,0.18658978134972
