"Achnanthes","Amphora","Bacteria","Cocconeis","CPOM","Cricotopus sp. A","Cyclotella","Cymbella","Diatoma","Eukiefferiella minor","Filamentous algae","FPOM","Fragilaria","Fungi","Gomphonema","Green algae","Hebridae indet.","Limnophora riparia","Macrophytes","Melosira","Meridion","Micropsectra atrofasciata","Naucoridae indet.","Navicula","Nitzschia","Oligochaeta indet.","Orthocladius sp.","Radix balthica","Rhoicosphenia","Rhopalodia","Salmo trutta","Simulium aureum","Simulium vittatum","Synedra","Terrestrial"
0,0,0,0,0,0.0005200013996319,0,0,0,0.0005200013996319,0,0,0,0,0,0,0,0,0,0,0,0.0005200013996319,0,0,0,0.0005200013996319,0.0005200013996319,0.0005200013996319,0,0,0,0.0005200013996319,0.0005200013996319,0,0
0,0,0,0,0,0.0002620720670851,0,0,0,0.0002620720670851,0,0,0,0,0,0,0,0,0,0,0,0.0002620720670851,0,0,0,0.0002620720670851,0.0002620720670851,0.0002620720670851,0,0,0,0.0002620720670851,0.0002620720670851,0,0
0,0,0,0,0,0.54177427564048,0,0,0,0.54177427564048,0,0,0,0,0,0,0,0.457147569201862,0,0,0,0.54177427564048,0,0,0,0.543634800103763,0.54177427564048,0.54117513868058,0,0,0,0.543634800103763,0.543634800103763,0,0
0,0,0,0,0,0.049591903391004,0,0,0,0.049591903391004,0,0,0,0,0,0,0,0,0,0,0,0.049591903391004,0,0,0,0.049591903391004,0.049591903391004,0.049591903391004,0,0,0,0.049591903391004,0.049591903391004,0,0
0,0,0,0,0,0.54177427564048,0,0,0,0.54177427564048,0,0,0,0,0,0,0,0.457147569201862,0,0,0,0.54177427564048,0,0,0,0.543634800103763,0.54177427564048,0.54117513868058,0,0,0,0.543634800103763,0.543634800103763,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019186288864,0,0,0,0,0,0,0,0,0,0,0,0,0.019186288864,0.019186288864,0.019186288864,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002325655579104,0,0,0,0,0,0.002325655579104,0.002325655579104,0,0
0,0,0,0,0,0.0007489211998752,0,0,0,0.0007489211998752,0,0,0,0,0,0,0,0,0,0,0,0.0007489211998752,0,0,0,0.0007489211998752,0.0007489211998752,0,0,0,0,0.0007489211998752,0.0007489211998752,0,0
0,0,0,0,0,0.001715089163128,0,0,0,0.001715089163128,0,0,0,0,0,0,0,0.001715089163128,0,0,0,0.001715089163128,0,0,0,0.001715089163128,0.001715089163128,0.001715089163128,0,0,0,0.001715089163128,0.001715089163128,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00613080976,0,0,0,0,0,0,0,0,0,0,0,0,0.00613080976,0.00613080976,0.00613080976,0,0
