"Achnanthes","Amphora","Bacteria","Clinocera stagnalis","Cocconeis","CPOM","Cricotopus sp. B","Cymbella","Diatoma","Dicranota exclusa","Diploneis","Epithemia","Eukiefferiella minor","Eunotia","Filamentous algae","FPOM","Fragilaria","Fungi","Gomphonema","Green algae","Limnophora riparia","Melosira","Meridion","Mesoveliidae indet. sp. A","Micropsectra atrofasciata","Navicula","Nitzschia","Notonectidae indet.","Oligochaeta indet.","Pinnularia","Potamophylax cingulatus","Radix balthica","Rheocricotopus effesus","Rhoicosphenia","Rhopalodia","Scatella sp.","Simulium aureum","Simulium vittatum","Sperchon glandulosus","Synedra","Terrestrial","Thienemanniella sp."
0,0,0,0,0,0,0.0765954267889915,0,0,0.0765954267889915,0,0,0.0765954267889915,0,0,0,0,0,0,0,0,0,0,0,0.0765954267889915,0,0,0,0.0765954267889915,0,0.0765954267889915,0.0765954267889915,0.0765954267889915,0,0,0,0.0765954267889915,0.0765954267889915,0.0765954267889915,0,0,0.0765954267889915
0,0,0,0,0,0,0.000686830343368213,0,0,0.000686830343368213,0,0,0.000686830343368213,0,0,0,0,0,0,0,0,0,0,0,0.000686830343368213,0,0,0,0.000686830343368213,0,0,0.000686830343368213,0.000686830343368213,0,0,0,0.000686830343368213,0.000686830343368213,0,0,0,0.000686830343368213
0,0,0,0,0,0,0.956150777450411,0,0,0.956150777450411,0,0,0.955966140291436,0,0,0,0,0,0,0,0.420336319507848,0,0,0,0.935009756931763,0,0,0,0.956150777450411,0,0.95038032267545,0.956150777450411,0.956150777450411,0,0,0,0.956150777450411,0.956150777450411,0.397940596058599,0,0,0.955966140291436
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.49731001317126,0,0,0.49731001317126,0,0,0.49731001317126,0,0,0,0,0,0,0,0,0,0,0,0.49731001317126,0,0,0,0.49731001317126,0,0.49731001317126,0.49731001317126,0.49731001317126,0,0,0,0.49731001317126,0.49731001317126,0.49731001317126,0,0,0.49731001317126
0,0,0,0,0,0,0.956150777450411,0,0,0.956150777450411,0,0,0.955966140291436,0,0,0,0,0,0,0,0.420336319507848,0,0,0,0.935009756931763,0,0,0,0.956150777450411,0,0.95038032267545,0.956150777450411,0.956150777450411,0,0,0,0.956150777450411,0.956150777450411,0.397940596058599,0,0,0.955966140291436
0,0,0,0.026447532032,0,0,0,0,0,0.026447532032,0,0,0,0,0,0,0,0,0,0,0.026447532032,0,0,0,0,0,0,0,0,0,0.026447532032,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.000197531649928,0,0,0.000197531649928,0,0,0.000197531649928,0,0,0,0,0,0,0,0,0,0,0,0.000197531649928,0,0,0,0.000197531649928,0,0,0.000197531649928,0.000197531649928,0,0,0,0.000197531649928,0.000197531649928,0,0,0,0.000197531649928
0,0,0,0,0,0,0.00931169250828,0,0,0.00931169250828,0,0,0.00931169250828,0,0,0,0,0,0,0,0.00931169250828,0,0,0,0.00931169250828,0,0,0,0.00931169250828,0,0.00931169250828,0.00931169250828,0.00931169250828,0,0,0,0.00931169250828,0.00931169250828,0,0,0,0.00931169250828
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
