"Achnanthes","Amphora","Bacteria","Clinocera stagnalis","Cocconeis","CPOM","Cricotopus sp. B","Cymbella","Diamesa bertrami","Diamesa zernyi","Diatoma","Dicranota exclusa","Eukiefferiella minor","Filamentous algae","FPOM","Fragilaria","Fungi","Gomphonema","Green algae","Meridion","Mesoveliidae indet. sp. A","Metriocnemus sp. A","Metriocnemus sp. B","Micropsectra atrofasciata","Navicula","Nitzschia","Oligochaeta indet.","Potamophylax cingulatus","Prosimulium ursinum","Radix balthica","Rheocricotopus effesus","Rhoicosphenia","Rhopalodia","Scatella sp.","Simulium aureum","Simulium vittatum","Sperchon glandulosus","Stauroneis","Synedra","Terrestrial","Thienemanniella sp."
0,0,0,0,0,0,0.0911030764125812,0,0.0911030764125812,0.0911030764125812,0,0.0911030764125812,0.0911030764125812,0,0,0,0,0,0,0,0,0.0911030764125812,0.0911030764125812,0.0911030764125812,0,0,0.0911030764125812,0.0911030764125812,0.0911030764125812,0.0911030764125812,0.0911030764125812,0,0,0,0.0911030764125812,0.0911030764125812,0.0911030764125812,0,0,0,0.0911030764125812
0,0,0,0,0,0,0.0433682263841666,0,0.0433682263841666,0.0433682263841666,0,0.0433682263841666,0.0433682263841666,0,0,0,0,0,0,0,0,0.0433682263841666,0.0433682263841666,0.0433682263841666,0,0,0.0433682263841666,0,0.0433682263841666,0.0433682263841666,0.0433682263841666,0,0,0,0.0433682263841666,0.0433682263841666,0,0,0,0,0.0433682263841666
0,0,0,0,0,0,1.11958994855784,0,1.11958994855784,1.11108671408984,0,1.12101266788778,1.11958994855784,0,0,0,0,0,0,0,0,1.11958994855784,1.11958994855784,1.11958994855784,0,0,1.12101266788778,1.07420713684559,1.12101266788778,1.11958994855784,1.11958994855784,0,0,0,1.12101266788778,1.12101266788778,0.378249051609116,0,0,0,1.11958994855784
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.437947834592293,0,0.437947834592293,0.437947834592293,0,0.437947834592293,0.437947834592293,0,0,0,0,0,0,0,0,0.437947834592293,0.437947834592293,0.437947834592293,0,0,0.437947834592293,0.437947834592293,0.437947834592293,0.437947834592293,0.437947834592293,0,0,0,0.437947834592293,0.437947834592293,0.437947834592293,0,0,0,0.437947834592293
0,0,0,0,0,0,1.11958994855784,0,1.11958994855784,1.11108671408984,0,1.12101266788778,1.11958994855784,0,0,0,0,0,0,0,0,1.11958994855784,1.11958994855784,1.11958994855784,0,0,1.12101266788778,1.07420713684559,1.12101266788778,1.11958994855784,1.11958994855784,0,0,0,1.12101266788778,1.12101266788778,0.378249051609116,0,0,0,1.11958994855784
0,0,0,0.06231731128,0,0,0,0,0,0,0,0.06231731128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06231731128,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0003533614637436,0,0.0003533614637436,0.0003533614637436,0,0.0003533614637436,0.0003533614637436,0,0,0,0,0,0,0,0,0.0003533614637436,0.0003533614637436,0.0003533614637436,0,0,0.0003533614637436,0,0.0003533614637436,0.0003533614637436,0.0003533614637436,0,0,0,0.0003533614637436,0.0003533614637436,0,0,0,0,0.0003533614637436
0,0,0,0.042306828048,0,0,0,0,0,0,0,0.042306828048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042306828048,0.042306828048,0,0,0,0,0,0.042306828048,0.042306828048,0,0,0,0,0
0,0,0,0.0224052864,0,0,0,0,0,0,0,0.0224052864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224052864,0.0224052864,0,0,0,0,0,0.0224052864,0.0224052864,0,0,0,0,0
0,0,0,0,0,0,0.5663079395808,0,0.5663079395808,0.5663079395808,0,0.5663079395808,0.5663079395808,0,0,0,0,0,0,0,0,0.5663079395808,0.5663079395808,0.5663079395808,0,0,0.5663079395808,0.5663079395808,0.5663079395808,0.5663079395808,0.5663079395808,0,0,0,0.5663079395808,0.5663079395808,0,0,0,0,0.5663079395808
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.453961127984,0,0,0,0,0,0,0,0.453961127984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453961127984,0.453961127984,0,0,0,0,0,0.453961127984,0.453961127984,0,0,0,0,0
