Achnanthes minutissima,Baetis muticus,Baetis rhodani,Chironomidae,Chloroperla tripunctata,Cottus gobio,CPOM,Diatoma vulgaris,Diploneis elliptica,Ecdyonurus,Elmis aenea,Encyonema minutum,Encyonema silesiacum,Esolus parallelepipedus,Eunotia exigua,Eunotia incisa,Eunotia rhomboidea,FPOM,Fragilaria arcus,Fragilaria ulna,Frustulia rhomboides,Gammarus pulex,Gomphonema angustatum,Gomphonema parvulum,Heptagenia,Hydropsyche siltalai,Isoperla grammatica,Lepidostoma hirtum,Leuctra hippopus,Limnius volckmari,Navicula lanceolata,Oligochaeta,Oreodytes sanmarkii,Oulimnius,Phoxinus phoxinus,Plectrocnemia conspersa,Plectrocnemia geniculata,Rhithrogena semicolorata,Salmo salar,Salmo trutta,Sericostoma personatum,Serratella ignita,Silo pallipes,Simuliidae,Siphonoperla torrentium,Tanypodinae,Tipulidae
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00870095,0.00870095,0,0,0,0,0,0,0
0,0,0,0.006168005,0,0,0,0,0,0.006168005,0.006168005,0,0,0,0,0,0,0,0,0,0,0.006168005,0,0,0.006168005,0.006168005,0,0.006168005,0.006168005,0.006168005,0,0.006168005,0,0.006168005,0.006168005,0,0,0.006168005,0,0,0,0,0.006168005,0,0,0,0
0,0,0,0.000607829,0,0,0,0,0,0.000607829,0.000607829,0,0,0,0,0,0,0,0,0,0,0.000607829,0,0,0.000607829,0.000607829,0,0.000607829,0.000607829,0.000607829,0,0.000607829,0,0.000607829,0.000607829,0,0,0.000607829,0,0,0,0,0.000607829,0,0,0,0
0,0,0,0.001271815,0,0,0,0,0,0.001271815,0.001271815,0,0,0,0,0,0,0,0,0,0,0.001271815,0,0,0.001271815,0.001271815,0,0.001271815,0.001271815,0.001271815,0,0.001271815,0,0.001271815,0.001271815,0,0,0.001271815,0,0,0,0,0.001271815,0,0,0,0
0,0.065309132,0.065309132,0.07229705,0,0,0,0,0,0.072884868,0.072884868,0,0,0,0,0,0,0,0,0,0,0.072884868,0,0,0.072884868,0.072884868,0,0.072884868,0.072884868,0.072884868,0,0.06691521,1,0.072884868,0.072884868,0,0,0.072884868,0,0,0.068861044,0,0.072884868,0.068861044,0,0,0.068273225
0,0.009184478,0.009184478,0.009184478,0,0,0,0,0,0.009184478,0.009184478,0,0,0,0,0,0,0,0,0,0,0.009184478,0,0,0.009184478,0.009184478,0,0.009184478,0.009184478,0.009184478,0,0,0,0.009184478,0.009184478,0,0,0.009184478,0,0,0.009184478,0,0.009184478,0.009184478,0,0,0.009184478
0,0.001854929,0.001854929,0.001854929,0,0,0,0,0,0.001854929,0.001854929,0,0,0,0,0,0,0,0,0,0,0.001854929,0,0,0.001854929,0.001854929,0,0.001854929,0.001854929,0.001854929,0,0,0,0.001854929,0.001854929,0,0,0.001854929,0,0,0.001854929,0,0.001854929,0.001854929,0,0,0.001854929
0,0,0,0,0,0,0,0,0,0.000177514,0.000177514,0,0,0,0,0,0,0,0,0,0,0.000177514,0,0,0.000177514,0.000177514,0,0.000177514,0.000177514,0.000177514,0,0.000177514,0,0.000177514,0.000177514,0,0,0.000177514,0,0,0.000177514,0,0.000177514,0.000177514,0,0,0
0,0,0,0,0,0.001254999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001254999,0.001254999,0,0,0,0,0,0.001254999,0,0.001254999,0.001254999,0.001254999,0,0.001254999,0.001254999,0,0,0,0,0,0.001254999,0
0,0.000474078,0.000474078,0.000474078,0,0,0,0,0,0.000474078,0.000474078,0,0,0,0,0,0,0,0,0,0,0.000474078,0,0,0.000474078,0.000474078,0,0.000474078,0.000474078,0.000474078,0,0.000474078,0,0.000474078,0.000474078,0,0,0.000474078,0,0,0.000474078,0,0.000474078,0.000474078,0,0,0.000474078
0,0.003322682,0.003322682,0.003322682,0,0,0,0,0,0.003322682,0.003322682,0,0,0,0,0,0,0,0,0,0,0.003322682,0,0,0.003322682,0.003322682,0,0.003322682,0.003322682,0.003322682,0,0.003322682,0,0.003322682,0.003322682,0,0,0.003322682,0,0,0.003322682,0,0.003322682,0.003322682,0,0,0.003322682
0,0,0,0,0,0.000610448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000610448,0,0,0,0,0,0,0,0.000610448,0,0,0,0.000610448,0.000610448,0,0,0,0,0,0,0
0,0,0,0,0,0.003524436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003524436,0,0,0,0.003524436,0.003524436,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004318892,0,0,0,0,0,0,0,0.004318892,0,0,0,0.004318892,0.004318892,0,0,0,0,0.004318892,0,0
0,0,0,0,0,0.001062033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062033,0,0,0,0.001062033,0.001062033,0,0,0,0,0,0,0
0,0,0,0,0.006939661,0.006939661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006939661,0,0,0,0.006939661,0.006939661,0,0,0,0,0,0,0,0.006939661,0.006939661,0.006939661,0,0.006939661,0.006939661,0,0,0,0,0.006939661,0.006939661,0
0,0,0,0,0,0.000500296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000500296,0,0,0,0,0,0,0,0,0.000500296,0,0,0,0.000500296,0.000500296,0,0,0,0,0,0,0
0,0.115782098,0.115782098,0.115782098,0,0,0,0,0,0.115782098,0.115782098,0,0,0,0,0,0,0,0,0,0,0.115782098,0,0,0.115782098,0.115782098,0,0.115782098,0.115782098,0.115782098,0,0.115782098,0,0.115782098,0.115782098,0,0,0.115782098,0,0,0.115782098,0,0.115782098,0.115782098,0,0,0.115782098
0,0,0,0,0.002764655,0.002764655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002764655,0,0.002764655,0.002764655,0.002764655,0,0.002764655,0.002764655,0,0,0,0,0.002764655,0.002764655,0
0,0,0,0,0,0.000193555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000193555,0,0,0.000193555,0.000193555,0,0.000193555,0.000193555,0,0,0,0,0,0,0
0,0,0,0,0,0.000127602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000127602,0.000127602,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003802667,0.003802667,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01E-05,2.01E-05,0,0,0,0,0,0,0,0,2.01E-05,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56E-05,1.56E-05,0,0,0,0,0,0,0,0,1.56E-05,0
0,0,0,0,0,0.011073897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011073897,0,0,0,0,0,0,0,0.011073897,0,0,0,0.011073897,0.011073897,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364337455,0,0,0,0.364337455,0.364337455,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198106666,0,0,0,0.01,0.198106666,0,0,0,0,0,0,0
0,0,0,0,0,0.008493785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008493785,0,0,0,0,0,0,0,0,0.008493785,0,0,0,0.008493785,0.008493785,0,0,0,0,0,0,0
0,0,0,0,0,5.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10E-05,0,0,0,5.10E-05,5.10E-05,0,0,0,0,0,0,0
0,0,0,0,0,0.015352957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015352957,0.015352957,0,0,0,0,0,0,0
0,0,0,0,0,0.003680588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003680588,0,0,0,0.003680588,0.003680588,0,0,0,0,0,0,0,0.003680588,0.003680588,0.003680588,0,0.003680588,0.003680588,0,0,0,0,0.003680588,0.003680588,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007063703,0,0,0,0,0,0,0,0,0.007063703,0.007063703,0,0,0,0,0,0,0,0.007063703,0.007063703,0
0,0,0,0,0.000581393,0.000581393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000581393,0,0,0,0.000581393,0.000581393,0,0,0,0,0,0.000581393,0,0.000581393,0.000581393,0.000581393,0,0.000581393,0.000581393,0.000581393,0.000581393,0,0,0.000581393,0.000581393,0
0,0,0,0,0,0.003749355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003749355,0.003749355,0.003749355,0,0.003749355,0.003749355,0,0,0,0,0,0.003749355,0
