"Amphinemura sulcicollis","Baetis rhodani","Calopteryx splendens","Ceratopogonidae","Chironomidae","CPOM","Dicranota","Eunotia exigua","Eunotia naegelii","Eunotia rhomboidea","FPOM","Fragilaria","Frustulia rhomboides saxonica","Gomphonema acuminatum","Halesus radiatus","Hydropsyche siltalai","Isoperla grammatica","Leuctra inermis","Nitzschia","Oligochaeta","Pinnularia subcapitata","Plectrocnemia conspersa","Sericostoma personatum","Simuliidae","Siphonoperla torrentium","Tabellaria flocculosa","Tanypodinae","Tipulidae"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005685149056,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011685918656,0.0011685918656,0,0,0,0,0.0011685918656,0,0,0.0011685918656,0,0.0011685918656,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0003968827344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0121906479632,0,0,0,0.0121906479632,0,0,0,0,0,0,0,0.0121906479632,0.0121906479632,0.0121906479632,0,0,0,0,0.0121906479632,0.0121906479632,0,0.0121906479632,0,0.0121906479632,0
9.13550876315285,0.25967780251285,0,9.13550876315285,2.5121565811136,0,0.2089812279577,0,0,0,0,0,0,0,0.25967780251285,9.13550876315285,1,9.13550876315285,0,8.52899998423055,0,1,6.4577559752842,6.4577559752842,0,0,0,0.25967780251285
0,0,0,0,0,0,0.0004217690336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004217690336,0,0,0,0,0,0
0.125875846336,0,0,0.125875846336,0.125875846336,0,0,0,0,0,0,0,0,0,0,0.125875846336,0,0.125875846336,0,0.125875846336,0,0,0,0,0,0,0,0
4.2641161556,0,0,4.2641161556,4.2641161556,0,0,0,0,0,0,0,0,0,0,4.2641161556,0,4.2641161556,0,4.2641161556,0,0,0,0,0,0,0,0
0.1149655552655,0,0,0.1149655552655,0.1149655552655,0,0,0,0,0,0,0,0,0,0,0.1149655552655,0,0.1149655552655,0,0.1149655552655,0,0,0,0,0,0,0,0
9.13550876315285,0.25967780251285,0,9.13550876315285,2.5121565811136,0,0.2089812279577,0,0,0,0,0,0,0,0.25967780251285,9.13550876315285,0,9.13550876315285,0,8.52899998423055,0,0,6.4577559752842,6.4577559752842,0,0,0,0.25967780251285
0.3624695393088,0.3624695393088,0,0.3624695393088,0.3624695393088,0,0.3624695393088,0,0,0,0,0,0,0,0.3624695393088,0.3624695393088,0,0.3624695393088,0,0,0,0,0.3624695393088,0.3624695393088,0,0,0,0.3624695393088
0.2997630050427,0,0,0.2997630050427,0,0,0,0,0,0,0,0,0,0,0,0.2997630050427,0,0.2997630050427,0,0.2997630050427,0,0,0.2997630050427,0.2997630050427,0,0,0,0
0.0554929166066,0.0554929166066,0,0.0554929166066,0.0554929166066,0,0.0554929166066,0,0,0,0,0,0,0,0.0554929166066,0.0554929166066,0,0.0554929166066,0,0.0554929166066,0,0,0.0554929166066,0.0554929166066,0,0,0,0.0554929166066
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01133498212,0,0,0,0,0,0,0,0.01133498212,0,0,0
0,0,0.0279963263328,0,0,0,0.0279963263328,0,0,0,0,0,0,0,0,0.0279963263328,0.0279963263328,0,0,0,0,0.0279963263328,0,0,0.0279963263328,0,0.0279963263328,0
0.1013931491103,0.1013931491103,0,0.1013931491103,0.1013931491103,0,0,0,0,0,0,0,0,0,0.1013931491103,0.1013931491103,0,0.1013931491103,0,0.1013931491103,0,0,0.1013931491103,0.1013931491103,0,0,0,0.1013931491103
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599579312,0,0,0.000599579312,0,0.000599579312,0
12.0963933405,0,0,12.0963933405,0,0,0,0,0,0,0,0,0,0,0,12.0963933405,0,12.0963933405,0,12.0963933405,0,0,12.0963933405,12.0963933405,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007535759616,0,0,0,0,0.007535759616,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101407582704,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0005980043888,0,0,0,0.0005980043888,0,0,0,0,0,0,0,0,0.0005980043888,0.0005980043888,0,0,0,0,0.0005980043888,0,0,0.0005980043888,0,0.0005980043888,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060362769312,0,0,0,0,0.060362769312,0,0,0.060362769312,0,0.060362769312,0
0.8505480185358,0,0,0.8505480185358,0,0,0,0,0,0,0,0,0,0,0,0.8505480185358,0,0.8505480185358,0,0,0,0,0,0,0,0,0,0
0,0,0.1886009882,0,0,0,0.1886009882,0,0,0,0,0,0,0,0.1886009882,0.1886009882,0.1886009882,0,0,0,0,0.1886009882,0.1886009882,0,0.1886009882,0,0.1886009882,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037408188312,0,0,0,0,0.037408188312,0
