"Achnanthes conspicua","Achnanthes minutissima","Amphinemura sulcicollis","Baetis muticus","Baetis rhodani","Brachysira vitrea","Chironomidae","CPOM","Ecdyonurus","Electrogena lateralis","Elmis aenea","Eunotia exigua","FPOM","Fragilaria arcus","Fragilaria ulna","Gomphonema angustum","Gomphonema olivaceum","Hydropsyche siltalai","Isoperla grammatica","Leuctra inermis","Navicula minima","Navicula seminulum","Nitzschia","Oligochaeta","Plectrocnemia conspersa","Rhithrogena semicolorata","Rhyacophila dorsalis","Sericostoma personatum","Serratella ignita","Simuliidae","Siphonoperla torrentium","Tanypodinae","Tipulidae"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000193554641,0,0,0,0.000193554641,0.000193554641,0
0,0,0.000730489386766,0,0,0,0.000730489386766,0,0.000730489386766,0.000730489386766,0.000730489386766,0,0,0,0,0,0,0.000730489386766,0,0.000730489386766,0,0,0,0.000730489386766,0,0.000730489386766,0,0,0,0,0,0,0
0,0,0.00437709593750605,0.00358664751074305,0.00358664751074305,0,0.00411767193750605,0,0.00437709593750605,0.00437709593750605,0.00437709593750605,0,0,0,0,0,0,0.00437709593750605,0,0.00437709593750605,0,0,0,0.00122582533739555,0,0.00437709593750605,1,0.00401185124412305,0,0.00401185124412305,0,0,0.00375242724412305
0,0,0.001142551866617,0.001142551866617,0.001142551866617,0,0.001142551866617,0,0.001142551866617,0.001142551866617,0.001142551866617,0,0,0,0,0,0,0.001142551866617,0,0.001142551866617,0,0,0,0,0,0.001142551866617,0,0.001142551866617,0,0.001142551866617,0,0,0.001142551866617
0,0,0.005159989333604,0.005159989333604,0.005159989333604,0,0.005159989333604,0,0.005159989333604,0.005159989333604,0.005159989333604,0,0,0,0,0,0,0.005159989333604,0,0.005159989333604,0,0,0,0,0,0.005159989333604,0,0.005159989333604,0,0.005159989333604,0,0,0.005159989333604
0,0,0.000488950746594,0.000488950746594,0.000488950746594,0,0.000488950746594,0,0.000488950746594,0.000488950746594,0.000488950746594,0,0,0,0,0,0,0.000488950746594,0,0.000488950746594,0,0,0,0.000488950746594,0,0.000488950746594,0,0.000488950746594,0,0.000488950746594,0,0,0.000488950746594
0,0,0.000298772488,0.000298772488,0.000298772488,0,0.000298772488,0,0.000298772488,0.000298772488,0.000298772488,0,0,0,0,0,0,0.000298772488,0,0.000298772488,0,0,0,0.000298772488,0,0.000298772488,0,0.000298772488,0,0.000298772488,0,0,0.000298772488
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000532891045,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002067339375,0,0,0,0,0,0,0,0.002067339375,0,0,0,0.002067339375,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00933173496,0.00933173496,0,0,0,0,0,0.00933173496,0,0.00933173496,0,0,0,0.00933173496,0.00933173496,0
0,0,2.34966666711e-05,2.34966666711e-05,2.34966666711e-05,0,2.34966666711e-05,0,2.34966666711e-05,2.34966666711e-05,2.34966666711e-05,0,0,0,0,0,0,2.34966666711e-05,0,2.34966666711e-05,0,0,0,2.34966666711e-05,0,2.34966666711e-05,0,2.34966666711e-05,0,2.34966666711e-05,0,0,2.34966666711e-05
0,0,5.80998e-05,5.80998e-05,5.80998e-05,0,5.80998e-05,0,5.80998e-05,5.80998e-05,5.80998e-05,0,0,0,0,0,0,5.80998e-05,0,5.80998e-05,0,0,0,5.80998e-05,0,5.80998e-05,0,5.80998e-05,0,5.80998e-05,0,0,5.80998e-05
0,0,1.43412e-06,1.43412e-06,1.43412e-06,0,1.43412e-06,0,1.43412e-06,1.43412e-06,1.43412e-06,0,0,0,0,0,0,1.43412e-06,0,1.43412e-06,0,0,0,1.43412e-06,0,1.43412e-06,0,1.43412e-06,0,1.43412e-06,0,0,1.43412e-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000575419488,0,0.000575419488,0,0,0,0.000575419488,0.000575419488,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001008037976,0,0,0,0,0,0,0.001008037976,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014182693513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000128503198,0,0,0,0,0,0.000128503198,0,0.000128503198,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000307964126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000378088264,0.000378088264,0,0,0,0,0,0.000378088264,0,0.000378088264,0,0,0,0.000378088264,0.000378088264,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006904476864,0,0,0,0,0,0.006904476864,0,0.006904476864,0,0,0,0.006904476864,0.006904476864,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016324566,0.00016324566,0,0,0,0,0,0.00016324566,0,0.00016324566,0.00016324566,0.00016324566,0,0.00016324566,0.00016324566,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00743095463,0,0,0,0,0,0,0.00743095463,0
