"Achnanthes conspicua","Achnanthes minutissima","Amphinemura sulcicollis","Baetis muticus","Baetis rhodani","Brachysira vitrea","Chironomidae","CPOM","Ecdyonurus","Electrogena lateralis","Elmis aenea","Eunotia exigua","FPOM","Fragilaria arcus","Fragilaria ulna","Gomphonema angustum","Gomphonema olivaceum","Hydropsyche siltalai","Isoperla grammatica","Leuctra inermis","Navicula minima","Navicula seminulum","Nitzschia","Oligochaeta","Plectrocnemia conspersa","Rhithrogena semicolorata","Rhyacophila dorsalis","Sericostoma personatum","Serratella ignita","Simuliidae","Siphonoperla torrentium","Tanypodinae","Tipulidae"
0,0,0.00014874560004,0,0,0,0.00014874560004,0,0.00014874560004,0.00014874560004,0.00014874560004,0,0,0,0,0,0,0.00014874560004,0,0.00014874560004,0,0,0,0.00014874560004,0,0.00014874560004,0,0.00014874560004,0,0.00014874560004,0,0,0.00014874560004
0,0,0.00018281386672,0,0,0,0.00018281386672,0,0.00018281386672,0.00018281386672,0.00018281386672,0,0,0,0,0,0,0.00018281386672,0,0.00018281386672,0,0,0,0.00018281386672,0,0.00018281386672,0,0.00018281386672,0,0.00018281386672,0,0,0.00018281386672
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000118543916,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003668620397,0.003668620397,0,0,0,0,0,0.003668620397,0,0.003668620397,0,0,0,0.003668620397,0.003668620397,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03550484394,0.03550484394,0,0,0,0,0,0.03550484394,0,0.03550484394,0,0,0,0.03550484394,0.03550484394,0
0,0,0.000518848,0,0,0,0,0,0.000518848,0.000518848,0.000518848,0,0,0,0,0,0,0.000518848,0,0.000518848,0,0,0,0.000518848,0,0.000518848,0,0.000518848,0,0.000518848,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021059091,0.00021059091,0,0,0,0,0,0.00021059091,0,0.00021059091,0.00021059091,0.00021059091,0,0.00021059091,0.00021059091,0
0,0,0.00437709593750605,0.00358664751074305,0.00358664751074305,0,0.00411767193750605,0,0.00437709593750605,0.00437709593750605,0.00437709593750605,0,0,0,0,0,0,0.00437709593750605,1,0.00437709593750605,0,0,0,0.00122582533739555,1,0.00437709593750605,1,0.00401185124412305,0,0.00401185124412305,0,0,0.00375242724412305
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00527404038,0,0,0,0,0,0.00527404038,0,0.00527404038,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124697252,0,0,0,0,0,0.0124697252,0,0.0124697252,0,0,0,0,0,0
