"Achnanthes","Achnanthes levanderi","Amphinemura sulcicollis","Baetis rhodani","Chironomidae","CPOM","Elmis aenea","Eunotia bilunaris","Eunotia exigua","Eunotia rhomboidea","Eunotia tenella","FPOM","Fragilaria construens","Fragilaria ulna","Frustulia rhomboides","Hydracarina","Leuctra inermis","Leuctra nigra","Navicula minima","Nemoura","Nemoura erratica","Nitzschia commutata","Nitzschia recta","Oligochaeta","Plectrocnemia conspersa","Rhithrogena semicolorata","Simuliidae","Siphonoperla torrentium","Surirella linearis","Tabellaria flocculosa","Tanypodinae"
0,0,0.01241809580295,0,0.01241809580295,0,0.01241809580295,0,0,0,0,0,0,0,0,0,0.01241809580295,0.01241809580295,0,0.01241809580295,0.01241809580295,0,0,0.01241809580295,0,0.01241809580295,0.01241809580295,0,0,0,0
0,0,0.000357849504,0,0.000357849504,0,0.000357849504,0,0,0,0,0,0,0,0,0,0.000357849504,0.000357849504,0,0.000357849504,0.000357849504,0,0,0.000357849504,0,0.000357849504,0.000357849504,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000603131379939687,0,0,0.000603131379939687,0,0,0.000603131379939687
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00038961493323593,0,0,0,0,0,0,0,0,0.00038961493323593,0,0,0.00038961493323593,0,0,0.00038961493323593
0,0,0.097899503260978,0.016887121353276,0.085535608460978,0,0.097899503260978,0,0,0,0,0,0,0,0,0,0.097899503260978,0.097899503260978,0,0.097899503260978,0.097899503260978,0,0,0.071096891727702,1,0.097899503260978,0.043623907671651,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40361244410408e-05,0,0,3.40361244410408e-05
0,0,0.0007781292,0,0.0007781292,0,0.0007781292,0,0,0,0,0,0,0,0,0,0.0007781292,0.0007781292,0,0.0007781292,0.0007781292,0,0,0.0007781292,0,0.0007781292,0,0,0,0,0
0,0,0.03243517554811,0,0.03243517554811,0,0.03243517554811,0,0,0,0,0,0,0,0,0,0.03243517554811,0.03243517554811,0,0.03243517554811,0.03243517554811,0,0,0.03243517554811,0,0.03243517554811,0,0,0,0,0
0,0,0.0519207789373,0,0.0519207789373,0,0.0519207789373,0,0,0,0,0,0,0,0,0,0.0519207789373,0.0519207789373,0,0.0519207789373,0.0519207789373,0,0,0.0519207789373,0,0.0519207789373,0,0,0,0,0
0,0,0.001723307893244,0,0.001723307893244,0,0.001723307893244,0,0,0,0,0,0,0,0,0,0.001723307893244,0.001723307893244,0,0.001723307893244,0.001723307893244,0,0,0.001723307893244,0,0.001723307893244,0,0,0,0,0
0,0,0.097899503260978,0.016887121353276,0.085535608460978,0,0.097899503260978,0,0,0,0,0,0,0,0,0,0.097899503260978,0.097899503260978,0,0.097899503260978,0.097899503260978,0,0,0.071096891727702,0,0.097899503260978,0.043623907671651,0,0,0,0
0,0,0.000538543466552,0.000538543466552,0.000538543466552,0,0.000538543466552,0,0,0,0,0,0,0,0,0,0.000538543466552,0.000538543466552,0,0.000538543466552,0.000538543466552,0,0,0,0,0.000538543466552,0.000538543466552,0,0,0,0
0,0,0.03137288,0.03137288,0.03137288,0,0.03137288,0,0,0,0,0,0,0,0,0,0.03137288,0.03137288,0,0.03137288,0.03137288,0,0,0,0,0.03137288,0.03137288,0,0,0,0
0,0,0.00303399,0,0,0,0.00303399,0,0,0,0,0,0,0,0,0,0.00303399,0.00303399,0,0.00303399,0.00303399,0,0,0.00303399,0,0.00303399,0.00303399,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26417788856247e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00128076655876081,0,0,0.00128076655876081,0,0,0.00128076655876081
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000380194251073092,0,0,0.000380194251073092,0,0,0.000380194251073092
0,0,0.00160439388,0.00160439388,0.00160439388,0,0.00160439388,0,0,0,0,0,0,0,0,0,0.00160439388,0.00160439388,0,0.00160439388,0.00160439388,0,0,0.00160439388,0,0.00160439388,0.00160439388,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000625083454381936,0,0,0.000625083454381936,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147970893318536,0,0,0.000147970893318536,0,0,0
0,0,5.949e-05,5.949e-05,5.949e-05,0,5.949e-05,0,0,0,0,0,0,0,0,0,5.949e-05,5.949e-05,0,5.949e-05,5.949e-05,0,0,5.949e-05,0,5.949e-05,5.949e-05,0,0,0,0
0,0,0.00019893536,0.00019893536,0.00019893536,0,0.00019893536,0,0,0,0,0,0,0,0,0,0.00019893536,0.00019893536,0,0.00019893536,0.00019893536,0,0,0.00019893536,0,0.00019893536,0.00019893536,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000269085795528647,0,0,0.000269085795528647,0,0,0.000269085795528647
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048447526972933,0,0,0,0,0,0.0048447526972933
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000415280825514027,0,0,0,0,0,0,0,0,0.000415280825514027,0,0,0.000415280825514027,0,0,0.000415280825514027
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00428227560085646,0,0,0.00428227560085646,0,0,0.00428227560085646
0,0,0.0376636373298,0,0.0376636373298,0,0.0376636373298,0,0,0,0,0,0,0,0,0,0.0376636373298,0.0376636373298,0,0.0376636373298,0.0376636373298,0,0,0.0376636373298,0,0.0376636373298,0.0376636373298,0,0,0,0
0,0,0.0216937996,0,0,0,0.0216937996,0,0,0,0,0,0,0,0,0,0.0216937996,0.0216937996,0,0.0216937996,0.0216937996,0,0,0,0,0.0216937996,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000268214459973179,0,0,0,0,0,0,0,0,0.000268214459973179,0,0,0.000268214459973179,0,0,0.000268214459973179
