"Achnanthes minutissima","Amphinemura sulcicollis","Baetis rhodani","Brachysira brebissonii","Brachysira vitrea","Chironomidae","Chloroperla tripunctata","CPOM","Elmis aenea","Eunotia exigua","Eunotia incisa","Eunotia vanheurckii intermedia","FPOM","Fragilaria vaucheriae","Frustulia rhomboides","Hydracarina","Isoperla grammatica","Leuctra inermis","Lype phaeopa","Oulimnius","Pinnularia subcapitata","Salmo trutta","Simuliidae","Siphonoperla torrentium","Surirella linearis","Synedra minuscula","Tabellaria flocculosa","Tanypodinae","Tinodes","Tipulidae"
0,0.00265132368,0,0,0,0.00265132368,0,0,0.00265132368,0,0,0,0,0,0,0,0,0.00265132368,0.00265132368,0.00265132368,0,0,0.00265132368,0,0,0,0,0,0.00265132368,0.00265132368
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000312394348,0,0,0,0,0.000312394348,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.001625323106,0,0,0,0,0,0,0,0,0,0.001625323106,0,0,0,0,0.001625323106,0,0.001625323106,0,0,0,0.001625323106,0,0
0,0.00410987647866,0,0,0,0,0,0,0.00410987647866,0,0,0,0,0,0,0,0,0.00410987647866,0.00410987647866,0.00410987647866,0,0,0.00410987647866,0,0,0,0,0,0.00410987647866,0
0,0.01801627989491,0,0,0,0,0,0,0.01801627989491,0,0,0,0,0,0,0,0,0.01801627989491,0.01801627989491,0.01801627989491,0,0,0.01801627989491,0,0,0,0,0,0.01801627989491,0
0,0,0,0,0,0,0.001603050255,0,0,0,0,0,0,0,0,0.001603050255,0.001603050255,0,0,0,0,0.001603050255,0,0.001603050255,0,0,0,0.001603050255,0,0
0,0,0,0,0,0,0.000987417318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000987417318,0,0.000987417318,0,0,0,0.000987417318,0,0
0,0.34011259278744,0.108785773659844,0,0,0.157028761111716,0,0,0.34011259278744,0,0,0,0,0,0,0,1,0.34011259278744,0.34011259278744,0.34011259278744,0,0,0.146817963422919,0,0,0,0,0,0.34011259278744,0.122830603503694
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000183062882,0,0.000183062882,0,0,0,0.000183062882,0,0
0,0.0628357130826,0,0,0,0.0628357130826,0,0,0.0628357130826,0,0,0,0,0,0,0,0,0.0628357130826,0.0628357130826,0.0628357130826,0,0,0,0,0,0,0,0,0.0628357130826,0
0,0.002727534933444,0,0,0,0.002727534933444,0,0,0.002727534933444,0,0,0,0,0,0,0,0,0.002727534933444,0.002727534933444,0.002727534933444,0,0,0,0,0,0,0,0,0.002727534933444,0
0,0.0028330672,0,0,0,0.0028330672,0,0,0.0028330672,0,0,0,0,0,0,0,0,0.0028330672,0.0028330672,0.0028330672,0,0,0,0,0,0,0,0,0.0028330672,0
0,0.34011259278744,0.108785773659844,0,0,0.157028761111716,0,0,0.34011259278744,0,0,0,0,0,0,0,0,0.34011259278744,0.34011259278744,0.34011259278744,0,0,0.146817963422919,0,0,0,0,0,0.34011259278744,0.122830603503694
0,0.001458237440088,0.001458237440088,0,0,0.001458237440088,0,0,0.001458237440088,0,0,0,0,0,0,0,0,0.001458237440088,0.001458237440088,0.001458237440088,0,0,0.001458237440088,0,0,0,0,0,0.001458237440088,0.001458237440088
0,0.001592162400159,0,0,0,0,0,0,0.001592162400159,0,0,0,0,0,0,0,0,0.001592162400159,0.001592162400159,0.001592162400159,0,0,0.001592162400159,0,0,0,0,0,0.001592162400159,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6287818e-05,0,0,0,0,0,9.6287818e-05,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011724990158,0,0,0,0,0.011724990158,0,0.011724990158,0,0,0,0,0,0
0,0,0,0,0,0,0.002781134504,0,0,0,0,0,0,0,0,0,0.002781134504,0,0,0,0,0.002781134504,0,0.002781134504,0,0,0,0.002781134504,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000144500129,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000150711168,0,0,0,0,0,0,0,0
0,0.02425640106472,0,0,0,0,0,0,0.02425640106472,0,0,0,0,0,0,0,0,0.02425640106472,0.02425640106472,0.02425640106472,0,0,0.02425640106472,0,0,0,0,0,0.02425640106472,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21885777776,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010117191,0.00010117191,0,0,0,0,0.00010117191,0,0.00010117191,0,0,0,0.00010117191,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016705318124,0,0,0,0,0,0,0.016705318124,0,0,0,0.016705318124,0,0
0,0.0254383360077,0,0,0,0.0254383360077,0,0,0.0254383360077,0,0,0,0,0,0,0,0,0.0254383360077,0.0254383360077,0.0254383360077,0,0,0.0254383360077,0,0,0,0,0,0.0254383360077,0.0254383360077
0,0.2161133098796,0.2161133098796,0,0,0.2161133098796,0,0,0.2161133098796,0,0,0,0,0,0,0,0,0.2161133098796,0.2161133098796,0.2161133098796,0,0,0.2161133098796,0,0,0,0,0,0.2161133098796,0.2161133098796
0,0.318192943513,0,0,0,0,0,0,0.318192943513,0,0,0,0,0,0,0,0,0.318192943513,0.318192943513,0.318192943513,0,0,0,0,0,0,0,0,0.318192943513,0
0,0,0,0,0,0,2.4150127e-05,0,0,0,0,0,0,0,0,2.4150127e-05,2.4150127e-05,0,0,0,0,2.4150127e-05,0,2.4150127e-05,0,0,0,2.4150127e-05,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000813753682,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002396471136,0,0,0,0,0,0.002396471136,0,0
