"Achnanthes austriaca","Achnanthes minutissima","Achnanthes oblongella","Agapetus fuscipes","Amphinemura sulcicollis","Baetis niger","Baetis rhodani","Baetis vernus","Calopteryx virgo","Ceratopogonidae","Chironomidae","Chloroperla tripunctata","Cloeon simile","CPOM","Dicranota","Drusus annulatus","Ecdyonurus dispar","Elmis aenea","Empididae","Eunotia curvata","Eunotia exigua","Eunotia pectinalis","Eunotia rhomboidea","Eunotia vanheurckii","FPOM","Fragilaria vaucheriae","Fragilariforma virescens","Gomphonema gracile","Gomphonema intricatum","Halesus radiatus","Heptagenia sulphurea","Hydracarina","Hydropsyche fulvipes","Hydropsyche siltalai","Isoperla grammatica","Lepidostoma hirtum","Leuctra hippopus","Leuctra inermis","Leuctra nigra","Limnephilidae","Limnius volckmari","Odontocerum albicorne","Oligochaeta","Oreodytes sanmarkii","Oulimnius","Oulimnius tuberculatus","Peronia fibula","Plectrocnemia conspersa","Polycentropus kingi","Rhithrogena semicolorata","Rhyacophila dorsalis","Salmo trutta","Sericostoma personatum","Serratella ignita","Siphlonurus lacustris","Siphonoperla torrentium","Surirella linearis","Surirella minuta","Tabellaria flocculosa","Tabellaria quadriseptata","Tanypodinae"
0,0,0,1.765200090888,1.765200090888,0,0,0,0,1.765200090888,1.765200090888,0,1.765200090888,0,1.765200090888,1.765200090888,1.765200090888,1.765200090888,1.765200090888,0,0,0,0,0,0,0,0,0,0,0,1.765200090888,0,1.765200090888,1.765200090888,0,1.765200090888,1.765200090888,1.765200090888,1.765200090888,1.765200090888,1.765200090888,1.765200090888,1.765200090888,0,1.765200090888,1.765200090888,0,0,0,1.765200090888,0,0,1.765200090888,0,1.765200090888,0,0,0,0,0,0
0,0,0,23.173689116187,23.173689116187,0,0,0,0,23.173689116187,23.173689116187,0,23.173689116187,0,23.173689116187,23.173689116187,23.173689116187,23.173689116187,23.173689116187,0,0,0,0,0,0,0,0,0,0,0,23.173689116187,0,23.173689116187,23.173689116187,0,23.173689116187,23.173689116187,23.173689116187,23.173689116187,23.173689116187,23.173689116187,23.173689116187,23.173689116187,0,23.173689116187,23.173689116187,0,0,0,23.173689116187,0,0,23.173689116187,0,23.173689116187,0,0,0,0,0,0
0,0,0,1.37793918181,1.37793918181,0,0,0,0,1.37793918181,1.37793918181,0,1.37793918181,0,1.37793918181,1.37793918181,1.37793918181,1.37793918181,1.37793918181,0,0,0,0,0,0,0,0,0,0,0,1.37793918181,0,1.37793918181,1.37793918181,0,1.37793918181,1.37793918181,1.37793918181,1.37793918181,1.37793918181,1.37793918181,1.37793918181,1.37793918181,0,1.37793918181,1.37793918181,0,0,0,1.37793918181,0,0,1.37793918181,0,1.37793918181,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003837841696,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009523868128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009523868128,0,0,0.0009523868128,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.002704689736,0,0,0.002704689736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002704689736,0.002704689736,0.002704689736,0,0,0,0,0.002704689736,0,0.002704689736,0,0,0,0,0,0.002704689736,0.002704689736,0,0.002704689736,0.002704689736,0,0,0,0.002704689736,0,0,0,0,0.002704689736
0,0,0,0,0,0,0,0,0.0182609373312,0,0,0.0182609373312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182609373312,0.0182609373312,0.0182609373312,0,0,0,0,0.0182609373312,0,0.0182609373312,0,0,0,0,0,0.0182609373312,0.0182609373312,0,0.0182609373312,0.0182609373312,0,0,0,0.0182609373312,0,0,0,0,0.0182609373312
0,0,0,0,0,0,0,0,0.0069447070592,0,0,0.0069447070592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069447070592,0.0069447070592,0.0069447070592,0,0,0,0,0.0069447070592,0,0.0069447070592,0,0,0,0,0,0.0069447070592,0.0069447070592,0,0.0069447070592,0.0069447070592,0,0,0,0.0069447070592,0,0,0,0,0.0069447070592
0,0,0,0,0,0,0,0,0.0102288462528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102288462528,0,0,0,0.0102288462528,0,0,0,0.0102288462528,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001378205616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001378205616,0,0,0,0,0.0001378205616,0,0,0.0001378205616,0,0,0,0,0,0,0,0,0
