"Amphinemura sulcicollis","Brachysira brebissonii","Chironomidae","CPOM","Dicranota","Dugesia","Eunotia denticulata","Eunotia exigua","Eunotia incisa","Eunotia naegelii","FPOM","Isoperla grammatica","Leuctra hippopus","Leuctra inermis","Peronia fibula","Plectrocnemia conspersa","Protonemura meyeri","Salmo trutta","Siphonoperla torrentium","Tabellaria flocculosa","Tipulidae"
0,0,0,0,0,0,0,0,0,0,0,0.0115609332256,0,0,0,0,0,0.0115609332256,0,0,0
3.155277893076,0,0,0,0,3.155277893076,0,0,0,0,0,0,3.155277893076,3.155277893076,0,0,3.155277893076,0,0,0,0
0,0,0,0,0.0035860014336,0,0,0,0,0,0,0.0035860014336,0,0,0,0.0035860014336,0,0.0035860014336,0.0035860014336,0,0
7.6204979741989,0,2.7794180142034,0,0,7.6204979741989,0,0,0,0,0,1,7.6204979741989,7.6204979741989,0,1,7.6204979741989,0,0,0,0
0,0,0,0,0.0012356701824,0,0,0,0,0,0,0,0,0,0,0.0012356701824,0,0.0012356701824,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.700215562273,0,0.700215562273,0,0,0.700215562273,0,0,0,0,0,0,0.700215562273,0.700215562273,0,0,0.700215562273,0,0,0,0
0.2152701564238,0,0.2152701564238,0,0,0.2152701564238,0,0,0,0,0,0,0.2152701564238,0.2152701564238,0,0,0.2152701564238,0,0,0,0
2.49644931354,0,2.49644931354,0,0,2.49644931354,0,0,0,0,0,0,2.49644931354,2.49644931354,0,0,2.49644931354,0,0,0,0
2.14690099617,0,2.14690099617,0,0,2.14690099617,0,0,0,0,0,0,2.14690099617,2.14690099617,0,0,2.14690099617,0,0,0,0
7.6204979741989,0,2.7794180142034,0,0,7.6204979741989,0,0,0,0,0,0,7.6204979741989,7.6204979741989,0,0,7.6204979741989,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.004889622368,0,0,0,0,0,0.004889622368,0.004889622368,0,0
0,0,0,0,0.0019404155872,0,0,0,0,0,0,0.0019404155872,0,0,0,0.0019404155872,0,0.0019404155872,0.0019404155872,0,0
0,0,0,0,0.0041280103968,0,0,0,0,0,0,0.0041280103968,0,0,0,0.0041280103968,0,0.0041280103968,0.0041280103968,0,0
3.005700744057,0,0,0,0,3.005700744057,0,0,0,0,0,0,3.005700744057,3.005700744057,0,0,3.005700744057,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004528965472,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.000766555584,0,0,0,0,0,0.000766555584,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50599999995,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.0082592187904,0,0,0,0.0082592187904,0,0,0.0082592187904,0,0
3.521181282858,0,0,0,0,3.521181282858,0,0,0,0,0,0,3.521181282858,3.521181282858,0,0,3.521181282858,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022911101296,0,0.0022911101296,0,0,0
