"Elateridae_sp_I","Cecidomyiidae_sp","Hemiptera_sp_juvenile","Ortheziidae_sp","Ditylenchus","Helicotylenchus","Pratylenchus","Telotylenchus","Tylenchus","Thysanoptera_sp","Asthenargus_paganus","Enoplognatha_ovata","Hahnia_pusilla","Hahnia_sp","Linyphiidae_sp_juvenile","Minyriolus_pusillus","Ozyptila_sp","Porrhomma_pallidum","Robertus_scoticus","Robertus_sp","Tapinocyba_pallens","Theridion_sp","Zora_nemoralis","Zora_sp_1","Lithobius_curtipes","Lithobius_sp","Ampedus_balteatus_L","Athous_haemorrhoidalis_L","Athous_sp_L","Athous_subfuscus_L","Cantharidae_sp_L","Carabidae_sp_L","Coccinellidae_sp_I","Dalopius_marginatus_L","Elateridae_L","Staphylinidae_sp_I","Staphylinidae_sp_L","Anisopodidae_sp","Asilidae_sp","Dolichopodidae_sp","Rhagionidae_sp","Symphoromyia_sp","Pselaphidae_sp_I","Arrhopalites_juvenile","Arrhopalites_secundarius","Deuterosminthurus_bicinctus","Entomobrya_nivalis","Entomobryinae_juvenile","Isotoma_juvenile","Isotomiella_minor","Lepidocyrtus_juvenile","Megalothorax_minimus","Mesaphorura_macrochaeta","Mesaphorura_tenuisensillata","Mesaphorura_undefined","Mesaphorura_yossii","Micranurida_pygmaea","Micraphorura_absoloni","Orchesella_flavescens","Parisotoma_notabilis","Pogognathellus_flavescens","Pseudanurophorus_binoculatus","Sminthurinus_juvenile","Sminthurinus_signatus","Willemia_anophthalma","Willemia_denisi","Xenylla_boerneri","Fanniidae_sp","Achaeta","Cognettia","Lumbricidae","Aphelenchus","Dorylaimus","Eucephalobus","Eudorylaimus","Panagrolaimus","Plectus","Rhabditis","Protura_sp","Arcella","Assulina_seminulum","C_eurystoma_v_parvula","Centropyxis_sylvatica","Cyclopyxis_eurystoma","Euglypha_compressa","Euglypha_laevis","Heleopera_ametistea","Nebela_bohemica","T_lineare_v_minuscula","Trigonopyxis_arcula","Trinema_complanatum","Trinema_enchelys","Branch_mass","Litter_mass","Micelium_bact","Micelium_fung"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
