"","benthic detritus","Ictalurus nebulosus","fish fry","Lepomis gibbosus","Prosopium cylindraceum","Catostomus commersoni","fish eggs","Perca flavescens","Coregonus clupeaformis","Oocyctis sp.","Daphnia catawba","Daphnia galeata","Daphnia longiremis","Diaptomus minutus","Cryptomonas erosa","Keratella cochlearis","Keratella taurocephala","Kelicottia longispina","Gymnodinium palustre","Tropocyclops prasinus","Asplanchna sp.","Holopedium gibberum","Mesocyclops edax","Mallomonas sp.","Cyclops vernalis","Fragilaria sp.","Trichocerca cylindrica","Ascomorpha ecaudis","Conochiloides unicornis","Dinobryon bavaricum","Dinobryon sertularia","Sphaerocystis schroeteri","Tabellaria fenestrata","Chrysocapsa planktonica","Quadrigula closterioides","Navicula sp.","Spondylosium planum","Epishura lacustris","Chrysosphaerella longispina","Trichocerca pusilla","Gastropus stylifer","Polyarthra major","Asterionella formosa","Polyarthra euryptera","Bosmina longirostris","Conochiloides dossuarius","Arthrodesmus incus","Elakatrothrix gelatinosa","Aphanothece sp.","Cyclotella sp.","Rhabdoderma lineare","Coelosphaerium pallidum","Anabaena flos-aquae","Botryococcus braunii","Synchaeta sp.","Merismopedia tenuissima","Leptodora kindtii","Chroococcus limneticus","Colletheca mutabilis","Diaphanosoma birgei","copepod nauplii","Micropterus salmoides","Salvelinus namaycush","Micropterus dolomieui","Coregonus artedii","Semotilus corporalis","Notemigonus crysoleucas","Osmerus mordax","Peridinium cinctum","Peridinium inconspicuum","Ceratium carolinianum","nanoflagellates "
"benthic detritus",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ictalurus nebulosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"fish fry",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0
"Lepomis gibbosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"Prosopium cylindraceum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"Catostomus commersoni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"fish eggs",0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Perca flavescens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"Coregonus clupeaformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"Oocyctis sp.",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
