"","benthic detritus","Rhinichthys atratulus","fish fry","Catostomus commersoni","fish eggs","Oocyctis sp.","Diaptomus minutus","Cryptomonas erosa","Keratella cochlearis","Keratella taurocephala","Keratella testudo","Cryptomonas ovata","Kelicottia bostoniensis","Kelicottia longispina","Daphnia pulex","Gymnodinium palustre","Tropocyclops prasinus","Holopedium gibberum","Mesocyclops edax","Cyclops scutifer","Mallomonas sp.","Staurastrum sp.","Conochiloides unicornis","Dinobryon bavaricum","Dinobryon sp.","Tabellaria fenestrata","Gastropus stylifer","Schroederia setigera","Melosira sp.","Bosmina longirostris","Conochiloides dossuarius","Keratella crassa","Scenedesmus longus","Daphnia ambigua","Botryococcus braunii","Merismopedia tenuissima","copepod nauplii","Salvelinus fontinalis","Fundulus diaphanus","Peridinium cinctum","Peridinium limbatum","Uroglenopsis americana"
"benthic detritus",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhinichthys atratulus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"fish fry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Catostomus commersoni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"fish eggs",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oocyctis sp.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diaptomus minutus",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cryptomonas erosa",0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0
"Keratella cochlearis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Keratella taurocephala",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Keratella testudo",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
