"","Oocyctis sp.","Diaptomus minutus","Cryptomonas erosa","Keratella taurocephala","Cryptomonas ovata","Kelicottia longispina","Mallomonas sp.","Dinobryon bavaricum","Dinobryon sp.","Navicula sp.","Gastropus stylifer","Merismopedia punctata","copepod nauplii","Mesocyclops edax","Polyphemus pediculus","Peridinium inconspicuum"
"Oocyctis sp.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diaptomus minutus",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cryptomonas erosa",0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0
"Keratella taurocephala",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cryptomonas ovata",0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0
"Kelicottia longispina",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Mallomonas sp.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dinobryon bavaricum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dinobryon sp.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Navicula sp.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gastropus stylifer",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Merismopedia punctata",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"copepod nauplii",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Mesocyclops edax",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Polyphemus pediculus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Peridinium inconspicuum",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
