"","Oocyctis sp.","Diaptomus minutus","Cryptomonas ovata","Keratella taurocephala","Mallomonas sp.","Tabellaria fenestrata","Navicula sp.","Bosmina longirostris","Merismopedia tenuissima","Diaphanosoma birgei","copepod nauplii","Polyphemus pediculus","nanoflagellates "
"Oocyctis sp.",0,1,0,0,0,0,0,0,0,0,0,0,0
"Diaptomus minutus",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cryptomonas ovata",0,1,0,1,0,0,0,1,0,1,1,0,0
"Keratella taurocephala",0,0,0,0,0,0,0,0,0,0,0,0,0
"Mallomonas sp.",0,1,0,0,0,0,0,0,0,0,0,0,0
"Tabellaria fenestrata",0,1,0,0,0,0,0,0,0,0,0,0,0
"Navicula sp.",0,1,0,0,0,0,0,0,0,0,0,0,0
"Bosmina longirostris",0,0,0,0,0,0,0,0,0,0,0,1,0
"Merismopedia tenuissima",0,1,0,0,0,0,0,0,0,0,0,0,0
"Diaphanosoma birgei",0,0,0,0,0,0,0,0,0,0,0,0,0
"copepod nauplii",0,0,0,0,0,0,0,0,0,0,0,1,0
"Polyphemus pediculus",0,0,0,0,0,0,0,0,0,0,0,1,0
"nanoflagellates ",0,0,0,1,0,0,0,1,0,1,1,0,0
