"PhytoP","Gammaridae","Zooplankton","Polychaeta","Spirorbis.spirorbis","Harparticoida","Ostracoda","Membranipora.membranaceae","Amphipholis.squamata","Bivalvia","Solecurtus.strigilatus","Stenothoidae","Ampithoidae","Nereis.sp.","Insecta","Nassariidae","Tanaidacea","Palaemon.serratus","Anemonia.viridis","Actinia.equina","Ulva.lactuca","Nematoda","Omalogyra.atomus","Barleeia.sp.","Turritellidae","Rissoidae","Nucella.lapillus","Patella.vulgata","Gibbula.cineraria","Ulva.linza","Colpomenia.peregrina","Desmarestia.aculeata","Chorda.filum","Sargassum.muticum","Halurus.equisetifolius","Rhodomela.confervoides","Jania.rubens","Furcellaria.lumbricalis","Palmaria.palmata"
0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
